timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
1000,0,-46.05,1000,2.23,,,,
2000,1,-14.191,1000,3.84,,,,
3000,2,-25.179,1000,8.08,,,,
4000,3,-18.886,1000,9.8,,,,
5000,4,-16.283,1000,13.84,,,,
6000,5,-24.343,1000,15.53,,,,
7000,6,-25.996,1000,19.48,,,,
8000,7,-10.978,1000,21.23,,,,
9000,8,-19.126,1000,25.22,,,,
10000,9,-17.057,1000,26.87,,,,
11000,10,-21.687,1000,37.6,,,,
12000,11,-13.131,1000,39.26,,,,
13000,12,-19.238,1000,42.82,,,,
14000,13,-7.74,1000,44.47,,,,
15000,14,-21.183,1000,48.39,,,,
16000,15,-22.661,1000,50.08,,,,
17000,16,-13.047,1000,53.86,,,,
18000,17,-15.793,1000,55.53,,,,
19000,18,-22.086,1000,59.15,,,,
20000,19,-22.025,1000,60.82,,,,
21000,20,-19.074,1000,71.84,,,,
22000,21,-11.748,1000,73.52,,,,
23000,22,-19.172,1000,77.49,,,,
24000,23,-9.967,1000,79.19,,,,
25000,24,-19.853,1000,83.1,,,,
26000,25,-19.024,1000,84.82,,,,
27000,26,-22.48,1000,88.66,,,,
28000,27,-16.044,1000,90.36,,,,
29000,28,-18.44,1000,94.23,,,,
30000,29,-7.497,1000,95.96,,,,
31000,30,-15.661,1000,107.11,,,,
32000,31,-5.037,1000,108.83,,,,
33000,32,-21.465,1000,112.53,,,,
34000,33,-16.767,1000,114.25,,,,
35000,34,-20.279,1000,117.78,,,,
36000,35,-20.841,1000,119.48,,,,
37000,36,-13.317,1000,123.47,,,,
38000,37,-21.174,1000,125.21,,,,
39000,38,-24.297,1000,129.22,,,,
40000,39,-15.484,1000,130.95,,,,
41000,40,-17.213,1000,142.19,,,,
42000,41,-21.365,1000,143.94,,,,
43000,42,-23.205,1000,145.62,,,,
44000,43,-13.311,1000,149.6,,,,
45000,44,-16.113,1000,151.27,,,,
46000,45,-15.13,1000,155.26,,,,
47000,46,-21.732,1000,156.93,,,,
48000,47,-17.033,1000,160.78,,,,
49000,48,-17.47,1000,162.43,,,,
50000,49,-13.197,1000,166.03,,,,
51000,50,-9.694,1000,175.77,,,,
52000,51,-20.114,1000,180.12,,,,
53000,52,-13.444,1000,182.0,,,,
54000,53,-19.094,1000,186.19,,,,
55000,54,-15.833,1000,188.18,,,,
56000,55,-19.669,1000,192.18,,,,
57000,56,-20.155,1000,193.95,,,,
58000,57,-17.857,1000,198.08,,,,
59000,58,-22.606,1000,199.82,,,,
60000,59,-15.256,1000,203.91,,,,
61000,60,-20.671,1000,213.09,,,,
62000,61,-9.711,1000,216.95,,,,
63000,62,-13.158,1000,218.7,,,,
64000,63,-16.861,1000,222.66,,,,
65000,64,-21.114,1000,224.37,,,,
66000,65,-16.489,1000,228.64,,,,
