timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
23,0,20.439,23,0.27,,,,
48,1,4.137,25,0.32,,,,
81,2,6.04,33,0.38,,,,
93,3,0.769,12,0.4,,,,
110,4,0.998,17,0.42,,,,
121,5,0.795,11,0.44,,,,
135,6,1.047,14,0.47,,,,
155,7,2.1,20,0.5,,,,
175,8,1.446,20,0.55,,,,
194,9,1.095,19,0.59,,,,
217,10,2.496,23,0.64,,,,
234,11,1.619,17,0.67,,,,
245,12,0.244,11,0.69,,,,
258,13,0.977,13,0.71,,,,
279,14,2.733,21,0.75,,,,
318,15,1.357,39,0.82,,,,
340,16,1.367,22,0.85,,,,
354,17,1.39,14,0.87,,,,
374,18,2.749,20,0.91,,,,
387,19,1.36,13,0.93,,,,
434,20,9.226,47,1.02,,,,
441,21,0.323,7,1.03,,,,
457,22,0.818,16,1.06,,,,
480,23,2.227,23,1.1,,,,
494,24,1.021,14,1.12,,,,
511,25,1.675,17,1.15,,,,
526,26,0.566,15,1.17,,,,
540,27,1.189,14,1.2,,,,
567,28,1.964,27,1.25,,,,
581,29,0.813,14,1.27,,,,
601,30,2.028,20,1.31,,,,
616,31,1.225,15,1.33,,,,
665,32,4.642,49,1.42,,,,
688,33,2.345,23,1.46,,,,
705,34,0.997,17,1.48,,,,
725,35,0.722,20,1.52,,,,
744,36,1.723,19,1.55,,,,
776,37,2.607,32,1.6,,,,
821,38,4.243,45,1.68,,,,
848,39,1.329,27,1.72,,,,
868,40,0.922,20,1.75,,,,
889,41,2.336,21,1.79,,,,
904,42,1.31,15,1.81,,,,
920,43,1.124,16,1.84,,,,
936,44,1.437,16,1.86,,,,
956,45,2.053,20,1.91,,,,
984,46,2.572,28,1.95,,,,
994,47,0.645,10,1.97,,,,
1004,48,0.453,10,1.99,,,,
1020,49,0.793,16,2.01,,,,
1036,50,1.265,16,2.04,,,,
1061,51,1.662,25,2.08,,,,
1077,52,1.489,16,2.11,,,,
1096,53,1.727,19,2.14,,,,
1107,54,0.874,11,2.15,,,,
1114,55,0.391,7,2.17,,,,
1131,56,1.753,17,2.19,,,,
1145,57,1.021,14,2.21,,,,
1161,58,0.91,16,2.24,,,,
1193,59,1.471,32,2.3,,,,
1209,60,0.968,16,2.33,,,,
1221,61,0.882,12,2.35,,,,
1234,62,1.123,13,2.37,,,,
1248,63,0.744,14,2.4,,,,
1266,64,1.694,18,2.43,,,,
1276,65,0.742,10,2.44,,,,
1288,66,1.095,12,2.47,,,,
1309,67,1.044,21,2.5,,,,
1321,68,0.483,12,2.52,,,,
1341,69,2.131,20,2.56,,,,
1360,70,1.684,19,2.59,,,,
1371,71,1.056,11,2.61,,,,
1395,72,1.222,24,2.65,,,,
1405,73,0.853,10,2.67,,,,
1420,74,0.955,15,2.7,,,,
1438,75,1.768,18,2.73,,,,
1468,76,2.893,30,2.78,,,,
1479,77,0.867,11,2.8,,,,
1501,78,1.787,22,2.83,,,,
1523,79,1.873,22,2.88,,,,
1538,80,1.05,15,2.91,,,,
1546,81,0.453,8,2.92,,,,
1573,82,1.984,27,2.97,,,,
1588,83,1.083,15,3.0,,,,
1598,84,0.718,10,3.02,,,,
1617,85,2.16,19,3.05,,,,
1635,86,1.249,18,3.08,,,,
1650,87,0.829,15,3.1,,,,
1664,88,1.229,14,3.13,,,,
1697,89,3.555,33,3.2,,,,
1708,90,0.941,11,3.22,,,,
1733,91,1.895,25,3.26,,,,
1745,92,1.118,12,3.28,,,,
1775,93,1.894,30,3.33,,,,
1796,94,1.274,21,3.36,,,,
1812,95,1.794,16,3.39,,,,
1830,96,2.087,18,3.42,,,,
1845,97,1.654,15,3.45,,,,
1864,98,0.859,19,3.49,,,,
1879,99,1.02,15,3.52,,,,
1893,100,0.736,14,3.54,,,,
1912,101,1.694,19,3.57,,,,
1933,102,1.102,21,3.6,,,,
1960,103,3.462,27,3.65,,,,
2003,104,4.453,43,3.74,,,,
2016,105,0.967,13,3.76,,,,
2029,106,1.268,13,3.78,,,,
2042,107,0.836,13,3.8,,,,
2080,108,1.219,38,6.68,,,,
2190,109,14.952,110,6.88,,,,
2200,110,0.456,10,6.9,,,,
2215,111,0.836,15,6.92,,,,
2232,112,1.457,17,6.95,,,,
2252,113,0.815,20,6.99,,,,
2266,114,0.888,14,7.02,,,,
2278,115,0.718,12,7.04,,,,
2294,116,1.178,16,7.07,,,,
2322,117,1.94,28,7.11,,,,
2331,118,0.467,9,7.13,,,,
2346,119,0.702,15,7.16,,,,
2382,120,2.785,36,7.23,,,,
2403,121,1.808,21,7.28,,,,
2442,122,3.015,39,7.35,,,,
2458,123,1.224,16,7.38,,,,
2469,124,0.556,11,7.4,,,,
2478,125,0.468,9,7.42,,,,
2490,126,0.68,12,7.45,,,,
2506,127,1.184,16,7.48,,,,
2519,128,0.717,13,7.52,,,,
2532,129,0.872,13,7.55,,,,
2597,130,9.845,65,7.67,,,,
2611,131,0.694,14,7.69,,,,
2634,132,1.804,23,7.74,,,,
2654,133,1.345,20,7.78,,,,
2678,134,0.787,24,7.83,,,,
2695,135,0.635,17,7.86,,,,
2742,136,5.561,47,7.96,,,,
2769,137,2.251,27,8.02,,,,
2884,138,15.377,115,8.22,,,,
2903,139,0.405,19,8.25,,,,
2918,140,0.714,15,8.28,,,,
2937,141,0.578,19,8.31,,,,
2950,142,0.389,13,8.34,,,,
2970,143,0.741,20,8.37,,,,
3024,144,2.792,54,8.47,,,,
3033,145,0.297,9,8.48,,,,
3056,146,0.362,23,8.52,,,,
3100,147,0.831,44,8.6,,,,
3134,148,1.961,34,8.66,,,,
3152,149,0.74,18,8.71,,,,
3179,150,1.265,27,8.78,,,,
3251,151,6.645,72,8.91,,,,
3321,152,6.365,70,9.05,,,,
3339,153,0.843,18,9.08,,,,
3349,154,0.256,10,9.09,,,,
3360,155,0.36,11,9.11,,,,
3378,156,0.516,18,9.15,,,,
3398,157,0.901,20,9.19,,,,
3411,158,0.421,13,9.22,,,,
3479,159,5.142,68,9.34,,,,
3497,160,0.346,18,9.38,,,,
3509,161,0.198,12,9.4,,,,
3531,162,0.975,22,9.44,,,,
3552,163,0.841,21,9.47,,,,
3574,164,0.953,22,9.51,,,,
3615,165,3.145,41,9.59,,,,
3646,166,1.873,31,9.65,,,,
3700,167,4.234,54,9.76,,,,
3729,168,0.928,29,9.81,,,,
3742,169,0.283,13,9.83,,,,
3762,170,0.652,20,9.87,,,,
3778,171,0.473,16,9.89,,,,
3868,172,8.83,90,10.06,,,,
3962,173,8.998,94,10.23,,,,
3987,174,0.745,25,10.28,,,,
3998,175,0.337,11,10.3,,,,
4031,176,0.811,33,10.36,,,,
4044,177,0.363,13,10.38,,,,
4092,178,3.099,48,10.47,,,,
4145,179,3.789,53,13.16,,,,
4209,180,3.14,64,13.28,,,,
4236,181,1.333,27,13.33,,,,
4246,182,0.254,10,13.35,,,,
4316,183,2.435,70,13.47,,,,
4364,184,2.117,48,13.56,,,,
4380,185,0.621,16,13.6,,,,
4431,186,3.339,51,13.7,,,,
4468,187,1.324,37,13.77,,,,
4492,188,0.69,24,13.82,,,,
4572,189,5.308,80,14.0,,,,
4621,190,1.802,49,14.1,,,,
4631,191,0.282,10,14.12,,,,
4654,192,0.35,23,14.17,,,,
4740,193,6.341,86,14.34,,,,
4763,194,1.039,23,14.39,,,,
4811,195,3.283,48,14.48,,,,
4824,196,0.334,13,14.5,,,,
4865,197,1.712,41,14.57,,,,
4890,198,1.044,25,14.62,,,,
4908,199,0.494,18,14.65,,,,
4973,200,4.82,65,14.76,,,,
4987,201,0.53,14,14.79,,,,
5040,202,3.315,53,14.88,,,,
5144,203,8.089,104,15.06,,,,
5154,204,0.258,10,15.09,,,,
5215,205,3.849,61,15.19,,,,
5279,206,4.618,64,15.3,,,,
5294,207,0.579,15,15.33,,,,
5370,208,5.071,76,15.47,,,,
5418,209,1.841,48,15.55,,,,
5454,210,2.166,36,15.61,,,,
5485,211,0.928,31,15.67,,,,
5505,212,0.916,20,15.71,,,,
5543,213,2.488,38,15.78,,,,
5589,214,2.848,46,15.86,,,,
5668,215,5.21,79,16.0,,,,
5693,216,0.311,25,16.04,,,,
5706,217,0.388,13,16.07,,,,
5793,218,3.263,87,16.22,,,,
5834,219,1.99,41,16.29,,,,
5956,220,6.637,122,16.52,,,,
6005,221,2.991,49,16.6,,,,
6025,222,0.654,20,16.65,,,,
6037,223,0.323,12,16.68,,,,
6079,224,2.322,42,16.76,,,,
6142,225,4.59,63,16.87,,,,
6195,226,3.639,53,19.54,,,,
6307,227,6.433,112,19.75,,,,
6329,228,0.924,22,19.79,,,,
6400,229,1.784,71,19.91,,,,
6455,230,3.567,55,20.02,,,,
6503,231,3.053,48,20.12,,,,
6519,232,0.532,16,20.16,,,,
6559,233,2.489,40,20.24,,,,
6641,234,3.317,82,20.4,,,,
6672,235,1.957,31,20.46,,,,
6720,236,2.957,48,20.55,,,,
6793,237,3.887,73,20.69,,,,
6826,238,1.917,33,20.76,,,,
6895,239,4.884,69,20.88,,,,
6971,240,5.105,76,21.04,,,,
7033,241,3.131,62,21.14,,,,
7052,242,0.699,19,21.17,,,,
7128,243,5.337,76,21.31,,,,
7162,244,1.646,34,21.37,,,,
7186,245,1.067,24,21.41,,,,
7221,246,1.766,35,21.47,,,,
7291,247,5.387,70,21.6,,,,
7328,248,2.048,37,21.66,,,,
7423,249,6.533,95,21.82,,,,
7479,250,3.508,56,21.92,,,,
7555,251,4.578,76,22.05,,,,
7602,252,2.954,47,22.14,,,,
7649,253,2.955,47,22.22,,,,
7730,254,2.845,81,22.36,,,,
7763,255,1.46,33,22.43,,,,
7804,256,2.497,41,22.5,,,,
