timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
1000,0,-151.488,1000,0.08,,,,
2000,1,-300.063,1000,0.15,,,,
3000,2,-316.879,1000,0.23,,,,
4000,3,-232.587,1000,0.31,,,,
5000,4,-315.846,1000,0.74,21.067272,-3.307822,9.292979,0.9997
6000,5,-267.001,1000,15.14,3.285422,-12.730051,8.681304,0.753897
7000,6,-334.487,1000,30.2,3.048521,-22.417483,6.660479,0.583563
8000,7,-345.517,1000,44.1,2.361623,-29.304752,5.144156,0.459452
9000,8,-145.627,1000,58.0,2.253647,-33.84313,4.022257,0.364948
10000,9,-339.249,1000,71.18,2.305124,-36.34228,3.173692,0.291202
11000,10,-138.018,1000,89.14,2.384218,-37.43772,2.488817,0.233298
12000,11,-225.332,1000,103.32,2.396357,-37.601682,1.93858,0.187588
13000,12,-170.5,1000,117.8,2.400951,-37.047349,1.507758,0.151186
14000,13,-279.438,1000,132.08,2.263148,-35.946118,1.165655,0.122157
15000,14,-265.084,1000,147.32,2.154887,-34.509464,0.897408,0.098914
16000,15,-229.892,1000,161.11,2.060117,-32.82479,0.687243,0.080269
17000,16,-218.225,1000,174.15,1.941877,-30.997684,0.521565,0.065329
18000,17,-166.977,1000,188.17,1.870115,-29.150137,0.396859,0.053232
19000,18,-156.381,1000,201.31,1.783152,-27.275473,0.300774,0.043441
20000,19,-164.099,1000,215.06,1.729022,-25.345755,0.229338,0.03545
21000,20,-155.26,1000,233.86,1.693186,-23.50814,0.171852,0.029012
22000,21,-54.04,1000,247.06,1.635473,-21.720316,0.126817,0.02385
23000,22,-41.96,1000,260.84,1.592298,-20.078889,0.092488,0.019694
24000,23,85.302,1000,273.9,1.658704,-18.721838,0.066222,0.016351
25000,24,-242.333,1000,287.66,1.738759,-17.480342,0.047977,0.013615
26000,25,316.411,1000,300.52,1.86296,-16.7075,0.032929,0.01145
27000,26,601.937,1000,314.44,2.008269,-16.292463,0.020088,0.009858
28000,27,187.285,1000,327.74,2.183751,-16.189039,0.010455,0.008775
29000,28,1212.439,1000,342.08,2.434829,-16.324791,0.004142,0.008185
30000,29,1872.514,1000,356.57,2.792873,-17.426881,-0.00163,0.008596
31000,30,799.281,1000,377.83,3.34463,-18.92076,-0.004222,0.010098
32000,31,1217.148,1000,392.55,4.123746,-20.232088,-0.003024,0.011646
33000,32,2387.679,1000,405.67,4.893058,-22.535899,-0.003615,0.013948
34000,33,2432.612,1000,419.24,5.636902,-25.685387,-0.003513,0.01637
35000,34,2551.492,1000,431.79,6.099146,-29.138904,-0.004004,0.019151
36000,35,2613.775,1000,445.59,6.573973,-32.733676,-0.004496,0.022296
37000,36,2738.988,1000,458.69,6.865231,-36.703462,-0.004415,0.025374
38000,37,2806.166,1000,473.02,7.286099,-40.99274,-0.005876,0.029541
39000,38,2412.131,1000,487.3,7.799528,-45.016565,-0.00507,0.033101
40000,39,177.467,1000,502.55,8.271867,-47.742317,-0.001947,0.034573
41000,40,730.621,1000,523.83,8.259941,-49.720786,-0.000755,0.035067
42000,41,2704.157,1000,537.14,8.889614,-52.016155,-0.001164,0.035907
43000,42,2853.372,1000,551.11,9.740582,-56.127616,-0.003378,0.038553
44000,43,2952.336,1000,564.33,9.642892,-60.091832,-0.003525,0.04119
45000,44,2799.561,1000,578.49,9.787285,-63.779512,-0.004017,0.044119
46000,45,3006.039,1000,591.23,9.782754,-67.504334,-0.003051,0.046522
47000,46,3092.956,1000,604.85,9.640656,-71.123428,-0.002951,0.048677
48000,47,2813.352,1000,617.96,9.737184,-74.61472,-0.003664,0.051506
49000,48,3007.346,1000,631.56,9.910598,-78.089143,-0.003545,0.054218
50000,49,3003.318,1000,644.99,10.234476,-81.35205,-0.00396,0.057276
51000,50,3124.642,1000,663.1,9.8533,-84.819054,-0.002862,0.059562
52000,51,3170.015,1000,676.51,9.828305,-88.469428,-0.003598,0.062357
53000,52,3230.621,1000,689.59,9.438011,-91.204934,-0.003436,0.064945
54000,53,3207.153,1000,703.68,9.497645,-94.194829,-0.001468,0.066187
55000,54,3301.535,1000,718.3,9.134613,-97.319655,-0.003507,0.068845
56000,55,3244.463,1000,732.71,9.227561,-100.399289,-0.003723,0.071725
57000,56,3288.051,1000,748.31,9.5337,-103.271126,-0.004445,0.075153
58000,57,3308.023,1000,761.98,9.45182,-105.947696,-0.00244,0.077098
59000,58,3354.589,1000,775.2,9.358816,-108.820318,-0.001546,0.078322
60000,59,3455.394,1000,789.21,9.214886,-111.503704,-0.003588,0.081139
61000,60,3369.204,1000,807.68,9.196324,-114.3218,-0.002743,0.083463
62000,61,3399.697,1000,821.76,9.279206,-116.805819,-0.002216,0.085174
63000,62,3539.167,1000,835.86,9.04093,-119.462886,-0.002026,0.086638
64000,63,3453.608,1000,850.14,8.895909,-121.934564,-0.00379,0.089929
