timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
18,0,17.969,18,0.01,,,,
34,1,8.328,16,0.02,,,,
49,2,10.998,15,0.02,,,,
60,3,8.553,11,0.02,,,,
74,4,9.207,14,0.03,,,,
90,5,7.892,16,0.03,,,,
125,6,17.815,35,0.04,,,,
179,7,68.779,54,0.04,,,,
197,8,14.565,18,0.05,,,,
219,9,10.643,22,0.05,,,,
233,10,8.673,14,0.05,,,,
257,11,14.516,24,0.06,,,,
269,12,7.067,12,0.06,,,,
285,13,12.551,16,0.06,,,,
327,14,41.308,42,0.07,,,,
343,15,12.957,16,0.07,,,,
363,16,10.644,20,0.07,,,,
380,17,6.369,17,0.08,,,,
405,18,27.056,25,0.08,,,,
436,19,9.49,31,0.09,,,,
453,20,16.616,17,0.11,,,,
471,21,9.348,18,0.11,,,,
481,22,6.149,10,0.12,,,,
500,23,10.149,19,0.12,,,,
518,24,11.071,18,0.12,,,,
543,25,23.796,25,0.12,,,,
558,26,8.444,15,0.13,,,,
592,27,30.519,34,0.13,,,,
612,28,8.37,20,0.13,,,,
632,29,6.938,20,0.14,,,,
651,30,18.768,19,0.14,,,,
667,31,7.769,16,0.14,,,,
705,32,26.881,38,0.15,,,,
744,33,39.024,39,0.15,,,,
772,34,31.371,28,0.16,,,,
786,35,9.826,14,0.16,,,,
796,36,6.323,10,0.16,,,,
815,37,10.827,19,0.16,,,,
828,38,4.769,13,0.17,,,,
851,39,14.126,23,0.17,,,,
867,40,13.189,16,0.17,,,,
898,41,39.688,31,0.18,,,,
925,42,18.801,27,0.18,,,,
990,43,47.766,65,0.19,,,,
1007,44,7.081,17,0.19,,,,
1038,45,31.451,31,0.2,,,,
1057,46,17.217,19,0.2,,,,
1069,47,7.927,12,0.2,,,,
1085,48,11.063,16,0.2,,,,
1104,49,13.101,19,0.21,,,,
1129,50,16.882,25,0.21,,,,
1144,51,13.434,15,0.21,,,,
1155,52,3.65,11,0.22,,,,
1187,53,10.357,32,0.22,,,,
1197,54,5.357,10,0.22,,,,
1248,55,62.992,51,0.23,,,,
1265,56,11.504,17,0.23,,,,
1302,57,38.653,37,0.24,,,,
1317,58,5.96,15,0.24,,,,
1338,59,11.262,21,0.24,,,,
1365,60,10.818,27,0.25,,,,
1385,61,17.738,20,0.25,,,,
1396,62,7.303,11,0.25,,,,
1428,63,16.967,32,0.26,,,,
1437,64,5.527,9,0.26,,,,
1455,65,14.259,18,0.26,,,,
1476,66,12.809,21,0.26,,,,
1494,67,10.655,18,0.27,,,,
1513,68,11.095,19,0.27,,,,
1523,69,5.961,10,0.27,,,,
1595,70,90.181,72,0.28,,,,
1613,71,18.925,18,0.28,,,,
1626,72,7.684,13,0.29,,,,
1663,73,10.482,37,0.29,,,,
1677,74,8.584,14,0.29,,,,
1701,75,25.066,24,0.3,,,,
1711,76,8.407,10,0.3,,,,
1735,77,20.17,24,0.3,,,,
1758,78,15.574,23,0.3,,,,
1788,79,15.405,30,0.31,,,,
1800,80,7.535,12,0.31,,,,
1825,81,12.178,25,0.32,,,,
1838,82,10.324,13,0.32,,,,
1868,83,18.528,30,0.33,,,,
1880,84,7.68,12,0.33,,,,
1903,85,20.547,23,0.33,,,,
1912,86,6.046,9,0.33,,,,
1923,87,7.409,11,0.33,,,,
1954,88,19.513,31,0.34,,,,
1978,89,11.778,24,0.34,,,,
1998,90,17.979,20,0.34,,,,
2033,91,14.457,35,0.35,,,,
2044,92,8.447,11,0.35,,,,
2063,93,9.357,19,0.35,,,,
2089,94,33.055,26,0.36,,,,
2101,95,9.421,12,0.36,,,,
2118,96,8.581,17,0.36,,,,
2142,97,30.722,24,0.37,,,,
2159,98,7.652,17,0.37,,,,
2190,99,17.783,31,0.37,,,,
2210,100,17.049,20,0.38,,,,
2224,101,11.637,14,0.38,,,,
2238,102,8.019,14,0.38,,,,
2261,103,7.812,23,0.39,,,,
2276,104,11.181,15,0.39,,,,
2292,105,7.641,16,0.39,,,,
2305,106,9.58,13,0.4,,,,
2325,107,8.463,20,0.4,,,,
2377,108,73.158,52,0.41,,,,
2401,109,18.366,24,0.41,,,,
2415,110,11.171,14,0.41,,,,
2427,111,9.901,12,0.41,,,,
2459,112,16.21,32,0.42,,,,
2513,113,82.188,54,0.43,,,,
2523,114,5.022,10,0.43,,,,
2539,115,14.279,16,0.43,,,,
2555,116,8.468,16,0.44,,,,
2575,117,7.869,20,0.44,,,,
2593,118,10.356,18,0.44,,,,
2637,119,39.988,44,0.45,,,,
2651,120,5.47,14,0.45,,,,
2664,121,11.452,13,0.45,,,,
2692,122,28.27,28,0.46,,,,
2730,123,19.066,38,0.46,,,,
2743,124,9.071,13,0.47,,,,
2773,125,9.146,30,0.47,,,,
2796,126,19.953,23,0.47,,,,
2806,127,3.911,10,0.47,,,,
2828,128,17.157,22,0.48,,,,
2844,129,15.079,16,0.48,,,,
2865,130,18.914,21,0.48,,,,
2882,131,8.878,17,0.49,,,,
2909,132,11.033,27,0.49,,,,
2926,133,12.572,17,0.49,,,,
2943,134,11.379,17,0.5,,,,
2965,135,22.692,22,0.5,,,,
2985,136,13.549,20,0.5,,,,
3001,137,13.982,16,0.51,,,,
3021,138,12.824,20,0.51,,,,
3069,139,71.555,48,0.52,,,,
3085,140,8.207,16,0.52,,,,
3111,141,5.835,26,0.53,,,,
