timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
24,0,2.579,24,0.01,,,,
44,1,2.807,20,0.01,,,,
76,2,2.977,32,0.01,,,,
86,3,-3.304,10,0.02,,,,
116,4,-2.87,30,0.02,,,,
131,5,0.867,15,0.02,,,,
152,6,-3.038,21,0.03,,,,
164,7,-1.971,12,0.03,,,,
179,8,1.967,15,0.03,,,,
215,9,10.378,36,0.04,,,,
238,10,-6.731,23,0.04,,,,
250,11,-2.711,12,0.04,,,,
264,12,-5.804,14,0.04,,,,
280,13,-2.169,16,0.05,,,,
311,14,10.039,31,0.05,,,,
332,15,0.068,21,0.06,,,,
366,16,14.057,34,0.06,,,,
374,17,-5.383,8,0.06,,,,
391,18,1.445,17,0.07,,,,
402,19,-0.407,11,0.07,,,,
431,20,5.803,29,0.08,,,,
444,21,1.332,13,0.08,,,,
484,22,-0.323,40,0.09,,,,
504,23,1.551,20,0.09,,,,
516,24,-3.635,12,0.1,,,,
546,25,0.512,30,0.1,,,,
587,26,2.948,41,0.11,,,,
608,27,-0.988,21,0.11,,,,
627,28,-2.846,19,0.11,,,,
641,29,-5.716,14,0.11,,,,
669,30,6.25,28,0.12,,,,
683,31,0.897,14,0.12,,,,
700,32,-1.126,17,0.12,,,,
718,33,1.822,18,0.13,,,,
743,34,-2.744,25,0.13,,,,
773,35,7.122,30,0.14,,,,
801,36,16.074,28,0.14,,,,
816,37,-5.053,15,0.14,,,,
831,38,-2.363,15,0.14,,,,
844,39,-2.961,13,0.15,,,,
854,40,-4.903,10,0.15,,,,
882,41,3.013,28,0.15,,,,
901,42,0.028,19,0.16,,,,
910,43,-1.596,9,0.16,,,,
931,44,7.24,21,0.16,,,,
943,45,-6.561,12,0.16,,,,
964,46,-5.27,21,0.17,,,,
1006,47,17.918,42,0.17,,,,
1025,48,1.789,19,0.17,,,,
1050,49,4.476,25,0.18,,,,
1065,50,-1.664,15,0.18,,,,
1088,51,8.678,23,0.18,,,,
1110,52,5.892,22,0.19,,,,
1120,53,-2.136,10,0.19,,,,
1145,54,9.48,25,0.19,,,,
1165,55,-1.112,20,0.2,,,,
1178,56,-4.387,13,0.2,,,,
1199,57,7.564,21,0.2,,,,
1212,58,-1.053,13,0.21,,,,
1239,59,-5.841,27,0.21,,,,
1252,60,-2.574,13,0.21,,,,
1297,61,10.149,45,0.22,,,,
1314,62,-6.436,17,0.22,,,,
1323,63,-3.989,9,0.22,,,,
1360,64,16.822,37,0.23,,,,
1373,65,2.675,13,0.23,,,,
1400,66,12.403,27,0.23,,,,
1426,67,-0.518,26,0.24,,,,
1450,68,-2.259,24,0.24,,,,
1478,69,3.097,28,0.25,,,,
1488,70,-3.281,10,0.25,,,,
1509,71,-3.218,21,0.25,,,,
1539,72,2.347,30,0.26,,,,
1554,73,0.532,15,0.26,,,,
1581,74,9.39,27,0.26,,,,
1602,75,-2.513,21,0.27,,,,
1619,76,-8.066,17,0.27,,,,
1631,77,0.042,12,0.27,,,,
1664,78,10.538,33,0.27,,,,
1686,79,-4.727,22,0.28,,,,
1704,80,2.578,18,0.28,,,,
1722,81,0.96,18,0.28,,,,
1736,82,-0.442,14,0.29,,,,
1751,83,2.505,15,0.29,,,,
1785,84,13.426,34,0.29,,,,
1808,85,2.92,23,0.3,,,,
1823,86,-0.052,15,0.3,,,,
1852,87,11.654,29,0.31,,,,
1870,88,-1.246,18,0.31,,,,
1894,89,5.993,24,0.31,,,,
1922,90,15.957,28,0.32,,,,
1943,91,-5.908,21,0.32,,,,
1962,92,-3.137,19,0.32,,,,
1988,93,5.502,26,0.33,,,,
2005,94,3.336,17,0.33,,,,
2021,95,4.75,16,0.33,,,,
2048,96,5.641,27,0.34,,,,
2061,97,0.06,13,0.34,,,,
2086,98,3.299,25,0.34,,,,
2106,99,0.004,20,0.35,,,,
2139,100,11.303,33,0.35,,,,
2153,101,-1.177,14,0.35,,,,
2170,102,-2.879,17,0.36,,,,
2199,103,1.537,29,0.36,,,,
2216,104,-1.42,17,0.36,,,,
2226,105,-3.615,10,0.37,,,,
2256,106,-2.775,30,0.37,,,,
2276,107,0.798,20,0.37,,,,
2296,108,5.217,20,0.38,,,,
2330,109,1.894,34,0.38,,,,
2357,110,6.861,27,0.39,,,,
2373,111,-2.098,16,0.39,,,,
2390,112,5.795,17,0.39,,,,
2413,113,4.708,23,0.4,,,,
2432,114,-7.629,19,0.4,,,,
2456,115,5.837,24,0.4,,,,
2474,116,5.554,18,0.41,,,,
2503,117,-2.186,29,0.41,,,,
2525,118,-11.512,22,0.41,,,,
2556,119,-0.054,31,0.42,,,,
2584,120,0.095,28,0.42,,,,
2613,121,10.544,29,0.43,,,,
2631,122,-1.949,18,0.43,,,,
2643,123,-0.424,12,0.43,,,,
2671,124,-0.08,28,0.44,,,,
2689,125,-9.989,18,0.44,,,,
2707,126,0.255,18,0.44,,,,
2725,127,-4.375,18,0.45,,,,
2736,128,1.002,11,0.45,,,,
2745,129,-2.626,9,0.45,,,,
2756,130,1.179,11,0.45,,,,
2774,131,5.221,18,0.45,,,,
2795,132,5.138,21,0.46,,,,
2824,133,-1.148,29,0.46,,,,
2843,134,-7.891,19,0.47,,,,
2871,135,6.9,28,0.47,,,,
2882,136,-1.766,11,0.47,,,,
2895,137,0.806,13,0.48,,,,
2909,138,3.101,14,0.48,,,,
2918,139,-2.409,9,0.48,,,,
2930,140,-3.655,12,0.48,,,,
2961,141,-5.154,31,0.49,,,,
2972,142,-0.576,11,0.49,,,,
2983,143,-1.266,11,0.49,,,,
3021,144,27.607,38,0.5,,,,
3039,145,-2.468,18,0.5,,,,
3059,146,2.296,20,0.5,,,,
3085,147,1.431,26,0.51,,,,
3107,148,3.29,22,0.51,,,,
3131,149,-4.724,24,0.51,,,,
3152,150,-1.955,21,0.52,,,,
3183,151,10.696,31,0.52,,,,
3208,152,-5.123,25,0.53,,,,
3237,153,1.237,29,0.53,,,,
3251,154,-0.199,14,0.53,,,,
3274,155,8.203,23,0.54,,,,
3287,156,-1.395,13,0.54,,,,
3306,157,-4.005,19,0.54,,,,
3324,158,4.59,18,0.54,,,,
3338,159,-0.081,14,0.55,,,,
3352,160,2.006,14,0.55,,,,
3363,161,-7.977,11,0.55,,,,
3374,162,-1.156,11,0.55,,,,
3397,163,-4.853,23,0.56,,,,
3410,164,-0.284,13,0.56,,,,
3433,165,-0.734,23,0.56,,,,
3455,166,-1.625,22,0.56,,,,
3473,167,-0.802,18,0.57,,,,
3491,168,3.781,18,0.57,,,,
3513,169,7.666,22,0.57,,,,
3527,170,-1.152,14,0.58,,,,
3547,171,-1.973,20,0.58,,,,
3563,172,-0.543,16,0.58,,,,
3576,173,-1.164,13,0.58,,,,
3591,174,-2.53,15,0.59,,,,
3606,175,-3.046,15,0.59,,,,
3628,176,-3.211,22,0.59,,,,
3644,177,-2.616,16,0.59,,,,
3670,178,-2.908,26,0.6,,,,
3684,179,1.931,14,0.6,,,,
3696,180,1.074,12,0.6,,,,
3714,181,-3.609,18,0.61,,,,
3734,182,1.516,20,0.61,,,,
3747,183,-0.517,13,0.61,,,,
3762,184,0.786,15,0.61,,,,
3774,185,-0.502,12,0.62,,,,
3789,186,-2.232,15,0.62,,,,
3803,187,2.601,14,0.62,,,,
3831,188,-1.431,28,0.63,,,,
3881,189,6.345,50,0.64,,,,
3895,190,1.652,14,0.65,,,,
3940,191,6.129,45,0.66,,,,
3957,192,-0.324,17,0.66,,,,
3976,193,6.013,19,0.66,,,,
3988,194,-5.381,12,0.67,,,,
4020,195,3.615,32,0.67,,,,
4037,196,4.133,17,0.67,,,,
4069,197,9.657,32,0.68,,,,
4090,198,2.327,21,0.68,,,,
4110,199,-0.155,20,0.69,,,,
4133,200,-0.752,23,0.69,,,,
4170,201,7.651,37,0.7,,,,
4198,202,4.151,28,0.7,,,,
4224,203,-6.816,26,0.7,,,,
4249,204,-0.342,25,0.71,,,,
4273,205,11.016,24,0.71,,,,
4305,206,4.297,32,0.72,,,,
4325,207,1.628,20,0.72,,,,
4342,208,-0.95,17,0.72,,,,
4354,209,-3.495,12,0.73,,,,
4372,210,2.101,18,0.73,,,,
4415,211,15.617,43,0.73,,,,
4434,212,4.091,19,0.74,,,,
4452,213,-7.462,18,0.74,,,,
4471,214,-4.525,19,0.74,,,,
4487,215,3.054,16,0.75,,,,
4500,216,0.966,13,0.75,,,,
4524,217,3.883,24,0.75,,,,
4541,218,-3.609,17,0.75,,,,
4569,219,-0.787,28,0.76,,,,
4589,220,-7.748,20,0.76,,,,
4618,221,5.042,29,0.77,,,,
4640,222,-3.133,22,0.77,,,,
4658,223,1.219,18,0.77,,,,
4683,224,-8.366,25,0.78,,,,
4697,225,-0.39,14,0.78,,,,
4712,226,0.396,15,0.78,,,,
4738,227,-0.002,26,0.78,,,,
4750,228,-1.146,12,0.79,,,,
4766,229,-1.533,16,0.79,,,,
4800,230,7.268,34,0.8,,,,
4825,231,5.204,25,0.8,,,,
4836,232,-3.518,11,0.8,,,,
4854,233,-0.737,18,0.8,,,,
4874,234,4.418,20,0.81,,,,
4908,235,7.225,34,0.81,,,,
4934,236,5.276,26,0.82,,,,
4957,237,8.758,23,0.82,,,,
4987,238,11.955,30,0.82,,,,
5002,239,-1.326,15,1.17,21.702012,-3.729216,9.257929,0.9991
5034,240,6.525,32,1.68,9.404159,-7.071898,9.904057,0.98949
5044,241,-1.683,10,1.83,7.11642,-7.702714,9.909144,0.986509
5078,242,-0.178,34,2.43,7.144517,-8.084592,9.854603,0.976489
5090,243,0.401,12,2.62,7.360591,-8.373327,9.793082,0.972994
5109,244,-7.191,19,2.87,7.117442,-8.598858,9.749862,0.967501
5143,245,5.169,34,3.31,6.7163,-8.883858,9.678577,0.957794
5160,246,-0.461,17,3.52,6.54441,-9.189996,9.618193,0.952992
5180,247,0.263,20,3.8,5.991193,-9.400058,9.539394,0.947399
5196,248,-2.132,16,4.04,5.474044,-9.546848,9.497243,0.942965
5226,249,-3.168,30,4.45,5.078794,-9.80853,9.420645,0.934735
5261,250,1.838,35,5.06,4.384701,-10.097746,9.324116,0.925276
5310,251,2.055,49,5.8,4.149398,-10.519865,9.202158,0.912283
5330,252,1.902,20,6.09,4.139178,-10.775392,9.097169,0.907059
5362,253,-0.773,32,6.51,4.056066,-11.041509,9.017245,0.898802
5376,254,0.265,14,6.7,4.334327,-11.201764,8.936741,0.895229
5414,255,1.349,38,7.19,3.743635,-11.505141,8.857085,0.885653
5452,256,23.584,38,7.73,4.144862,-11.776755,8.749577,0.876226
5512,257,4.838,60,8.54,3.973975,-12.28105,8.597743,0.861678
5538,258,-2.401,26,8.92,4.36203,-12.624218,8.467995,0.85549
5604,259,9.255,66,9.77,4.301204,-13.146309,8.315527,0.840128
5711,260,0.752,107,11.24,4.439323,-13.976515,8.079567,0.816102
5781,261,-3.528,70,12.12,4.246079,-14.9577,7.809333,0.800994
5864,262,4.924,83,13.25,4.645775,-15.696218,7.563036,0.783726
5920,263,4.879,56,14.03,5.038332,-16.409068,7.35837,0.772424
5969,264,13.383,49,14.82,4.826763,-17.012383,7.217549,0.762742
6086,265,-11.626,117,16.49,5.093301,-17.782784,7.026192,0.740314
6245,266,2.073,159,18.63,5.315422,-19.242835,6.664564,0.711527
6360,267,-1.281,115,20.13,5.861595,-20.662105,6.323194,0.691807
6477,268,-20.052,117,21.98,5.976454,-21.75953,6.082911,0.672535
6639,269,256.048,162,24.34,6.127701,-23.2101,5.785191,0.647149
6777,270,-19.312,138,26.28,6.904011,-24.872746,5.488121,0.626634
6936,271,52.614,159,28.39,7.208548,-26.287053,5.217881,0.604101
7023,272,-15.892,87,29.47,6.907214,-27.584511,4.979164,0.59232
7140,273,-3.874,117,31.3,7.807682,-28.395779,4.801585,0.576989
7763,274,684.203,623,40.14,8.672527,-32.248449,4.277358,0.50338
7909,275,244.558,146,42.35,10.398773,-36.364994,3.761583,0.487945
8288,276,237.265,379,48.01,12.21419,-38.892985,3.513001,0.450094
8432,277,263.267,144,50.07,12.164171,-41.361134,3.287211,0.436467
8618,278,302.381,186,52.89,13.900276,-42.948024,3.155553,0.419446
8933,279,183.312,315,57.13,15.389898,-45.144664,2.950603,0.392215
9161,280,341.999,228,60.01,15.787091,-46.98834,2.788057,0.373409
9325,281,48.692,164,62.5,16.145521,-48.733708,2.657699,0.360433
9697,282,480.617,372,67.94,18.515476,-50.419011,2.480249,0.33272
9986,283,390.111,289,72.34,20.167281,-52.921281,2.31516,0.312465
10185,284,293.609,199,76.62,20.644474,-54.471222,2.17937,0.299239
10392,285,309.505,207,79.47,23.030089,-55.684889,2.07491,0.286085
10567,286,270.038,175,82.15,23.01688,-57.108981,1.998226,0.275354
10721,287,43.03,154,84.45,24.025887,-57.905628,1.905147,0.266298
10845,288,39.223,124,86.34,25.990343,-58.494251,1.86028,0.259171
10991,289,43.594,146,88.65,24.23591,-58.961977,1.793317,0.251062
11221,290,325.659,230,92.21,24.645653,-59.649717,1.714628,0.238789
11461,291,87.75,240,95.73,26.188672,-60.619497,1.632109,0.226555
11597,292,26.316,136,97.68,25.896689,-61.088875,1.527198,0.220023
11725,293,218.028,128,99.69,26.142829,-61.547117,1.483952,0.214057
11899,294,286.565,174,102.03,25.751195,-62.141035,1.417687,0.206248
12148,295,363.326,249,105.74,24.747635,-62.970318,1.347489,0.195558
12372,296,281.011,224,109.02,27.576655,-63.674995,1.26548,0.186434
12514,297,223.646,142,111.15,25.449946,-64.306681,1.180643,0.181006
12662,298,199.451,148,113.28,27.517931,-64.850431,1.147021,0.175464
12758,299,6.323,96,114.65,30.470036,-65.052169,1.082053,0.172046
12956,300,71.661,198,117.11,27.139168,-65.270084,1.037512,0.165238
13153,301,-9.84,197,119.9,27.953332,-65.535634,0.964243,0.15884
13436,302,126.396,283,124.38,25.853923,-65.757263,0.898494,0.150129
13595,303,30.318,159,126.74,24.931036,-65.819293,0.835105,0.145493
13922,304,420.002,327,131.6,24.861205,-66.123614,0.778052,0.136418
14042,305,33.176,120,133.35,28.459485,-66.521505,0.720705,0.133257
14309,306,83.431,267,136.78,25.502956,-66.593842,0.684734,0.126493
14447,307,25.33,138,138.6,25.665743,-66.620085,0.635671,0.123172
14573,308,-12.825,126,140.35,26.240938,-66.849609,0.606414,0.120249
14720,309,23.909,147,142.62,25.500419,-67.004811,0.573403,0.116947
14907,310,58.752,187,145.45,25.977298,-66.89659,0.540435,0.112942
15087,311,31.091,180,147.7,25.478112,-66.910755,0.518935,0.109163
15209,312,-10.755,122,149.26,26.33808,-66.836323,0.478951,0.106748
15614,313,290.348,405,154.76,26.575552,-66.974779,0.437809,0.099174
15743,314,-12.08,129,156.48,28.274562,-67.005008,0.407682,0.096834
15929,315,52.304,186,159.15,26.926751,-67.106694,0.389067,0.093565
16088,316,11.247,159,161.38,27.026337,-67.111174,0.359929,0.090917
16361,317,426.486,273,165.32,27.372142,-67.274528,0.335777,0.086551
16566,318,350.852,205,168.2,29.123208,-67.949798,0.307746,0.083432
16865,319,503.452,299,173.08,30.761478,-68.46483,0.27599,0.079215
17106,320,423.44,241,176.54,30.823502,-69.354503,0.248987,0.076005
17233,321,198.155,127,178.32,30.460647,-69.787645,0.22508,0.074427
17397,322,352.25,164,180.76,32.606724,-70.095081,0.222012,0.072357
17564,323,243.939,167,183.13,31.67446,-70.748315,0.200778,0.070407
17772,324,333.387,208,185.93,32.768446,-71.445917,0.183344,0.068095
18081,325,447.405,309,190.18,33.452939,-72.227641,0.162877,0.064895
18237,326,253.847,156,192.4,35.779669,-72.677162,0.137454,0.063463
18422,327,330.307,185,195.13,35.456652,-73.312285,0.129813,0.061791
18608,328,304.37,186,197.79,34.702946,-73.869714,0.120203,0.060157
18805,329,349.63,197,200.8,35.241166,-74.851093,0.099588,0.058637
19003,330,396.804,198,203.74,35.040728,-75.272539,0.093567,0.057144
19185,331,291.396,182,206.45,33.999914,-76.062563,0.088349,0.055777
19300,332,189.582,115,207.99,34.216874,-76.61187,0.071652,0.055034
19494,333,300.764,194,210.7,34.920518,-77.111779,0.061679,0.053928
19695,334,340.918,201,213.6,34.331328,-77.601286,0.058233,0.052751
19902,335,370.079,207,216.59,34.188857,-78.43068,0.054524,0.051546
20902,336,1082.637,1000,234.9,34.116717,-80.444043,0.037204,0.046792
21285,337,632.05,383,240.76,33.641431,-82.947868,0.016071,0.045759
21580,338,504.227,295,245.38,34.170447,-84.431423,0.007355,0.045326
21913,339,613.45,333,250.55,33.382649,-85.882852,0.006102,0.044909
22187,340,453.13,274,254.31,33.899734,-87.304584,0.003637,0.044663
22488,341,563.969,301,258.75,33.835467,-88.41111,0.002928,0.044415
22847,342,630.255,359,264.33,34.156602,-90.11787,-5.7e-05,0.044351
22968,343,214.005,121,266.3,33.817235,-90.769407,-0.002723,0.04453
23151,344,289.223,183,269.26,33.979755,-91.358409,-0.002646,0.044651
23304,345,288.231,153,271.65,34.516457,-92.167343,-0.003261,0.044883
23488,346,306.214,184,274.56,34.532294,-92.813034,-0.005096,0.045326
23667,347,334.107,179,277.44,33.964574,-93.509073,-0.001327,0.045425
23948,348,518.409,281,281.56,34.487878,-94.514487,0.001332,0.045191
24106,349,278.421,158,283.71,34.659175,-95.281628,0.002607,0.044977
24298,350,351.777,192,286.47,34.906036,-95.863284,0.003949,0.044596
24515,351,437.234,217,289.69,33.288209,-96.575458,-0.00266,0.044866
24753,352,473.614,238,293.08,33.492981,-97.763931,-0.000596,0.045011
24906,353,27.666,153,295.43,33.486037,-98.209377,-0.002043,0.045252
25130,354,406.767,224,298.87,33.226745,-98.722445,-0.001743,0.045532
25393,355,498.524,263,303.05,33.060805,-99.456758,0.00312,0.045001
25563,356,306.346,170,305.74,33.906929,-100.23445,-0.002627,0.045312
25752,357,375.97,189,308.62,33.047406,-100.606388,-0.002712,0.045621
26031,358,340.735,279,312.61,31.912806,-101.013861,0.00466,0.044709
26188,359,313.933,157,315.12,32.16251,-101.444927,0.006037,0.043954
26504,360,229.745,316,319.72,32.236689,-102.263617,0.002354,0.043399
26719,361,399.788,215,322.75,32.5336,-102.732348,0.003165,0.042966
26891,362,341.66,172,325.26,32.513173,-103.185499,0.000653,0.042738
27005,363,208.779,114,326.94,33.117367,-103.584911,-0.003558,0.043124
27121,364,221.585,116,328.64,32.851458,-103.91749,0.00046,0.043023
27264,365,257.758,143,330.69,33.3353,-104.100245,-0.000395,0.043029
27622,366,642.3,358,336.21,33.880808,-104.366856,0.001088,0.042925
27836,367,475.067,214,339.47,33.147361,-105.046417,0.000156,0.042746
28062,368,465.798,226,342.77,32.475965,-105.162703,0.002545,0.042402
28234,369,368.306,172,345.26,32.633129,-105.813667,0.001493,0.042186
28414,370,353.223,180,347.95,32.073623,-105.856071,0.000946,0.042028
28559,371,295.493,145,349.74,32.53692,-106.273922,0.000505,0.041924
28713,372,373.215,154,351.62,31.941505,-106.357453,4e-06,0.042008
28818,373,38.7,105,353.03,33.603533,-106.59573,0.000166,0.041932
29129,374,601.58,311,357.26,32.008549,-107.199476,0.001947,0.041503
29284,375,17.157,155,359.4,32.010064,-107.311955,-0.003346,0.04191
29557,376,511.414,273,363.39,33.026384,-107.428432,-0.000961,0.04207
29815,377,143.877,258,367.15,33.723182,-107.802535,0.003085,0.04146
29956,378,74.385,141,368.99,33.962085,-107.986497,-0.002342,0.041745
30356,379,340.403,400,375.44,33.698707,-108.47206,0.002005,0.041097
30704,380,403.687,348,380.29,35.460695,-108.738442,0.001448,0.040768
30906,381,327.984,202,383.25,35.149519,-108.799046,-0.000661,0.040728
31090,382,330.818,184,385.73,35.454595,-108.976112,0.004484,0.04026
31478,383,579.355,388,391.5,37.029712,-109.491592,0.000898,0.039891
31681,384,334.841,203,394.45,37.586606,-110.004415,-0.000379,0.039968
31853,385,313.92,172,396.91,34.738733,-109.949632,-0.002382,0.040273
32077,386,382.544,224,400.88,36.307213,-110.177499,-0.002817,0.040788
32337,387,395.876,260,404.67,36.59982,-110.596005,-0.002268,0.041206
32546,388,315.295,209,407.74,36.426443,-110.906827,-0.002214,0.041586
32699,389,312.874,153,409.89,36.935238,-110.464669,0.002761,0.041345
33092,390,459.931,393,415.73,38.188535,-111.156611,0.00231,0.040551
33305,391,385.406,213,419.02,37.588175,-111.043113,-0.00036,0.040608
33528,392,345.625,223,422.25,37.833458,-111.381238,-0.00138,0.040804
33666,393,195.342,138,424.37,37.386698,-111.469956,-0.004423,0.041287
33841,394,-32.545,175,426.92,37.785489,-111.69147,0.000243,0.04133
34041,395,371.496,200,429.82,37.913732,-111.45458,0.000264,0.041221
34259,396,221.476,218,433.06,39.514555,-111.825321,0.002398,0.040848
34523,397,171.916,264,437.17,38.112876,-111.961837,0.002477,0.040259
34700,398,0.539,177,439.81,39.973055,-111.863193,-0.001417,0.040514
34862,399,289.166,162,442.19,39.731711,-111.902158,0.001097,0.04036
34991,400,218.531,129,444.05,39.427386,-111.916574,0.000301,0.040236
35185,401,381.421,194,446.83,40.147886,-112.013222,2.1e-05,0.040229
35398,402,427.38,213,449.72,40.198007,-112.251888,-0.000202,0.04029
35585,403,358.753,187,452.18,40.692975,-112.187737,-0.002108,0.040647
35720,404,250.445,135,453.83,39.640363,-112.327544,0.007343,0.039928
35935,405,250.416,215,456.74,38.652379,-112.541976,0.003375,0.039301
36080,406,300.935,145,458.7,39.024157,-112.497997,0.00243,0.039001
36232,407,222.547,152,460.81,40.278199,-112.718677,-0.000632,0.039142
36476,408,88.748,244,464.2,39.570322,-112.518179,-0.000461,0.039117
36921,409,631.429,445,470.59,41.007291,-112.624419,-0.000141,0.039183
37094,410,289.664,173,472.85,40.065139,-112.574784,-0.001307,0.039433
37310,411,379.392,216,475.82,39.230709,-112.852433,0.000828,0.039187
37589,412,247.858,279,479.8,40.099829,-112.678829,-0.002328,0.039597
38129,413,-60.689,540,487.55,41.064638,-112.90624,0.001507,0.039125
38295,414,298.526,166,489.97,43.064178,-112.518723,0.001508,0.03901
38460,415,329.059,165,492.35,42.589785,-112.448047,0.000972,0.038784
38704,416,339.635,244,495.95,43.29834,-112.406596,0.000262,0.038711
38935,417,17.107,231,499.19,43.569265,-112.150826,-0.004328,0.03955
39117,418,330.582,182,501.46,43.442873,-111.958562,-6e-05,0.039583
39224,419,199.201,107,502.75,44.879819,-111.970767,-0.000943,0.039659
39425,420,340.231,201,505.43,44.57718,-112.005145,-0.003928,0.040344
39653,421,38.566,228,508.7,43.344351,-111.671921,-0.004611,0.041146
39816,422,249.45,163,510.88,43.880123,-111.896088,-0.003027,0.041583
40047,423,390.297,231,516.0,43.488652,-111.709981,-0.000113,0.041619
40184,424,199.004,137,517.97,43.40312,-111.451667,0.004268,0.041237
40351,425,274.108,167,520.39,43.624577,-111.494737,0.002339,0.040849
40645,426,372.943,294,524.94,42.287434,-111.356135,-0.004547,0.041853
40981,427,163.013,336,530.32,41.813643,-111.403612,0.002553,0.041289
41147,428,259.46,166,533.12,43.923666,-111.086798,-0.003234,0.04156
41379,429,373.09,232,537.16,42.869991,-111.047401,0.00071,0.041554
41583,430,388.993,204,540.66,43.62434,-110.816631,0.003262,0.04104
41841,431,465.524,258,545.42,42.11661,-110.928787,0.002274,0.040523
42079,432,387.846,238,550.89,41.160637,-110.960903,-0.000405,0.040576
42277,433,361.512,198,555.82,42.300177,-110.744006,-0.003628,0.041153
42553,434,449.913,276,562.88,41.495586,-110.950152,0.00035,0.041092
42710,435,248.954,157,566.69,41.008647,-111.036544,0.001875,0.040826
42951,436,371.659,241,571.96,42.109524,-111.251464,-0.001431,0.04114
43475,437,733.781,524,582.71,40.764428,-110.891078,0.001602,0.040391
43678,438,365.042,203,585.37,41.152446,-110.763786,-0.00511,0.041141
43811,439,217.749,133,587.28,39.296641,-110.840396,-0.007941,0.042124
44194,440,739.812,383,592.97,39.783319,-111.126578,-0.000842,0.042469
44427,441,433.844,233,596.56,39.953795,-110.967285,0.006349,0.041179
44629,442,433.681,202,599.44,39.37608,-111.001179,-0.002924,0.041629
44783,443,318.168,154,601.38,40.060653,-111.082033,0.003288,0.041323
44998,444,443.121,215,604.3,39.022404,-110.771417,0.005282,0.040393
45211,445,322.257,213,607.22,38.489923,-110.875252,-4.5e-05,0.040478
45377,446,364.769,166,609.39,38.649999,-110.503836,-0.000709,0.040588
45586,447,410.902,209,612.37,37.898283,-110.964335,-0.003812,0.041068
45762,448,313.153,176,614.99,37.951746,-110.818253,0.00456,0.04052
45878,449,158.645,116,616.73,36.50997,-111.036648,-0.003246,0.040827
46085,450,395.143,207,619.76,37.660419,-111.116324,0.001659,0.040476
46311,451,486.931,226,623.12,37.314043,-110.63742,-0.005656,0.041498
46538,452,478.788,227,626.36,36.35022,-110.899302,-0.002241,0.041876
46755,453,412.933,217,629.55,36.370654,-111.000938,0.000776,0.041737
46958,454,342.978,203,632.72,34.967378,-110.970077,0.002599,0.041347
