timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
1000,0,-415.839,1000,0.08,,
2000,1,-271.322,1000,0.15,,
3000,2,-255.902,1000,0.24,,
4000,3,-354.078,1000,0.31,,
5000,4,-277.379,1000,0.4,,
6000,5,-417.486,1000,0.48,,
7000,6,-376.17,1000,0.55,,
8000,7,-310.159,1000,0.63,,
9000,8,-211.235,1000,0.7,,
10000,9,-293.952,1000,0.78,,
11000,10,-279.005,1000,5.64,,
12000,11,-208.961,1000,5.73,,
13000,12,-334.824,1000,5.81,,
14000,13,-319.811,1000,5.89,,
15000,14,-151.814,1000,5.97,,
16000,15,-254.527,1000,6.05,,
17000,16,-300.443,1000,6.14,,
18000,17,-289.301,1000,6.22,,
19000,18,-238.95,1000,6.31,,
20000,19,-291.616,1000,6.39,,
21000,20,-355.494,1000,11.15,,
22000,21,-250.655,1000,11.23,,
23000,22,-250.305,1000,11.31,,
24000,23,-213.882,1000,11.38,,
25000,24,-322.268,1000,11.59,1.567244,
26000,25,-535.591,1000,18.33,0.636141,-0.261853
27000,26,-558.739,1000,24.92,0.703135,-0.635491
28000,27,-482.794,1000,31.75,0.856202,-0.894871
29000,28,-420.622,1000,38.38,1.169352,-0.758745
30000,29,-464.914,1000,44.74,1.415644,-1.140288
31000,30,-416.246,1000,55.67,1.545457,-1.893652
32000,31,-373.194,1000,62.28,1.685444,-2.696293
33000,32,-733.715,1000,68.84,1.782996,-3.593293
34000,33,-293.62,1000,76.4,1.886848,-4.571745
35000,34,-340.601,1000,83.77,2.069739,-5.382498
36000,35,-322.736,1000,91.17,2.220873,-5.981381
37000,36,71.262,1000,98.71,2.398101,-6.418779
38000,37,-287.754,1000,104.97,2.330841,-6.32053
39000,38,-62.903,1000,112.32,2.279195,-6.275926
40000,39,50.666,1000,119.8,2.297901,-6.354606
41000,40,-85.463,1000,131.39,2.332324,-6.535267
42000,41,568.883,1000,138.0,2.393208,-6.881885
43000,42,933.503,1000,144.8,2.523301,-7.527769
44000,43,1683.407,1000,151.13,2.735198,-8.51976
45000,44,1007.393,1000,157.41,3.0529,-9.877704
46000,45,2125.745,1000,163.69,3.389434,-11.306118
47000,46,1469.115,1000,170.14,3.818577,-13.009865
48000,47,329.434,1000,176.38,4.146085,-14.499619
49000,48,1774.812,1000,182.63,4.429016,-15.826741
50000,49,1675.191,1000,188.73,4.772595,-17.793723
51000,50,2300.453,1000,199.64,5.112877,-19.855552
52000,51,2158.134,1000,206.08,5.552052,-22.045498
53000,52,2353.975,1000,212.36,6.020174,-24.300679
54000,53,2537.618,1000,218.53,6.322842,-26.501271
55000,54,2596.611,1000,224.73,6.65898,-29.045509
56000,55,2656.221,1000,230.98,7.002839,-31.726088
57000,56,2651.159,1000,237.15,7.370532,-34.245381
58000,57,2824.722,1000,243.43,7.635168,-37.114586
59000,58,2854.84,1000,249.68,8.02658,-39.939078
60000,59,2809.493,1000,255.75,8.370203,-42.807698
61000,60,2980.187,1000,266.68,8.5727,-45.906039
62000,61,3150.914,1000,272.9,8.883503,-48.870118
63000,62,3042.55,1000,278.97,9.21779,-51.897796
64000,63,3076.579,1000,285.23,9.54243,-55.241491
65000,64,3126.54,1000,291.36,9.790258,-58.421209
66000,65,3348.202,1000,297.65,10.115127,-61.944688
67000,66,1975.809,1000,304.0,10.383733,-65.013622
68000,67,3244.791,1000,311.07,10.680079,-68.220922
69000,68,3272.675,1000,318.63,11.099837,-70.788362
70000,69,3697.23,1000,326.22,11.543128,-74.080295
71000,70,3667.24,1000,339.15,11.875288,-77.746877
72000,71,3717.883,1000,346.04,12.406392,-80.966242
73000,72,3824.394,1000,352.92,12.979222,-84.38412
74000,73,1044.085,1000,359.99,13.064542,-87.492703
75000,74,4002.721,1000,367.23,13.738075,-89.872188
76000,75,790.187,1000,373.81,14.102524,-92.576236
77000,76,4082.695,1000,380.46,14.513107,-94.558341
78000,77,3986.436,1000,387.07,14.814533,-98.20773
79000,78,4133.367,1000,393.78,15.411732,-101.338636
80000,79,4335.85,1000,400.19,15.767536,-104.681114
81000,80,2891.108,1000,411.2,16.35909,-108.07392
82000,81,4163.938,1000,417.39,17.005449,-110.877769
83000,82,4239.215,1000,423.56,17.544496,-114.176764
84000,83,4145.232,1000,430.47,17.854348,-117.315638
85000,84,2360.557,1000,437.63,18.344692,-121.026993
86000,85,4123.221,1000,445.19,18.808755,-123.359327
87000,86,4299.982,1000,452.74,19.225723,-126.814415
88000,87,4170.759,1000,460.27,19.569731,-130.186572
89000,88,4410.176,1000,467.71,20.809541,-133.208359
90000,89,4392.604,1000,474.9,21.05586,-136.708562
91000,90,4103.24,1000,487.59,21.078941,-140.08021
92000,91,4482.052,1000,494.05,21.451717,-143.497787
93000,92,4505.504,1000,500.34,21.850882,-146.408774
94000,93,4700.622,1000,507.02,22.26134,-149.73575
95000,94,4755.122,1000,513.72,22.749025,-153.608714
96000,95,4663.465,1000,520.04,23.095439,-156.721164
97000,96,4691.199,1000,526.05,23.17523,-160.212256
98000,97,3626.191,1000,532.45,23.530133,-163.336659
99000,98,4655.565,1000,538.9,24.396998,-166.349208
100000,99,4780.245,1000,545.32,24.648573,-169.520502
101000,100,4730.915,1000,556.31,25.386861,-172.164495
102000,101,4548.911,1000,562.42,25.617835,-175.407477
103000,102,4541.54,1000,568.79,25.991174,-178.063645
104000,103,4703.772,1000,575.28,26.335219,-182.297443
105000,104,4845.941,1000,581.47,26.582748,-184.564333
106000,105,4837.531,1000,587.54,26.469186,-188.228662
107000,106,4745.204,1000,593.71,26.131879,-191.147423
108000,107,4659.757,1000,600.09,26.226378,-193.507103
109000,108,4544.504,1000,606.37,26.464397,-196.501714
110000,109,4880.01,1000,612.55,26.436099,-199.731132
111000,110,4861.26,1000,623.46,26.854049,-202.573251
