timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
27,0,16.698,27,0.02,,
39,1,6.533,12,0.03,,
55,2,10.668,16,0.03,,
68,3,9.504,13,0.03,,
92,4,9.468,24,0.04,,
102,5,6.437,10,0.04,,
116,6,10.78,14,0.04,,
134,7,14.164,18,0.05,,
151,8,10.99,17,0.05,,
168,9,14.774,17,0.05,,
186,10,7.69,18,0.05,,
205,11,15.983,19,0.06,,
245,12,33.357,40,0.06,,
278,13,44.741,33,0.07,,
299,14,15.614,21,0.07,,
327,15,20.318,28,0.08,,
356,16,31.225,29,0.08,,
369,17,7.34,13,0.08,,
408,18,31.058,39,0.09,,
425,19,14.041,17,0.09,,
440,20,10.475,15,0.09,,
457,21,11.292,17,0.1,,
470,22,10.115,13,0.1,,
484,23,7.705,14,0.1,,
501,24,10.318,17,0.1,,
516,25,12.752,15,0.11,,
525,26,5.81,9,0.11,,
556,27,32.755,31,0.11,,
567,28,7.995,11,0.11,,
611,29,73.8,44,0.12,,
625,30,10.682,14,0.12,,
641,31,11.567,16,0.13,,
709,32,66.47,68,0.14,,
729,33,12.314,20,0.15,,
747,34,18.997,18,0.15,,
772,35,9.27,25,0.15,,
788,36,14.436,16,0.16,,
802,37,6.659,14,0.16,,
813,38,8.166,11,0.16,,
846,39,13.374,33,0.17,,
867,40,22.494,21,0.17,,
893,41,13.789,26,0.18,,
928,42,20.568,35,0.18,,
953,43,25.495,25,0.19,,
979,44,15.173,26,0.19,,
993,45,10.875,14,0.19,,
1019,46,9.01,26,0.2,,
1037,47,7.163,18,0.2,,
1049,48,8.03,12,0.2,,
1062,49,9.703,13,0.2,,
1091,50,32.024,29,0.21,,
1115,51,8.166,24,0.21,,
1133,52,13.268,18,0.22,,
1160,53,23.215,27,0.22,,
1173,54,7.48,13,0.22,,
1187,55,8.595,14,0.22,,
1207,56,13.7,20,0.23,,
1227,57,15.522,20,0.23,,
1253,58,10.459,26,0.23,,
1289,59,12.17,36,0.24,,
1305,60,14.024,16,0.24,,
1328,61,12.844,23,0.25,,
1374,62,48.954,46,0.25,,
1397,63,18.053,23,0.26,,
1434,64,30.148,37,0.26,,
1469,65,21.016,35,0.27,,
1546,66,127.96,77,0.28,,
1582,67,19.587,36,0.29,,
1644,68,42.689,62,0.3,,
1667,69,13.684,23,0.3,,
1717,70,42.773,50,0.31,,
1733,71,14.561,16,0.31,,
1750,72,15.608,17,0.31,,
1774,73,24.377,24,0.32,,
1793,74,10.69,19,0.32,,
1810,75,14.518,17,0.33,,
1838,76,27.324,28,0.33,,
1871,77,26.762,33,0.34,,
1887,78,10.818,16,0.35,,
1898,79,7.609,11,0.35,,
1923,80,7.504,25,0.36,,
1938,81,10.274,15,0.36,,
