timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
28,0,-0.785,28,0.01,,
62,1,4.056,34,0.01,,
87,2,3.661,25,0.02,,
102,3,-5.022,15,0.02,,
119,4,0.747,17,0.02,,
134,5,-0.498,15,0.02,,
153,6,-5.136,19,0.03,,
172,7,-2.97,19,0.03,,
193,8,4.133,21,0.03,,
219,9,-9.685,26,0.04,,
234,10,2.18,15,0.04,,
281,11,23.367,47,0.05,,
305,12,1.065,24,0.05,,
317,13,-1.604,12,0.06,,
336,14,6.448,19,0.06,,
354,15,-0.12,18,0.06,,
383,16,1.053,29,0.07,,
400,17,-1.353,17,0.07,,
410,18,-4.308,10,0.07,,
446,19,8.34,36,0.08,,
474,20,4.922,28,0.08,,
493,21,1.286,19,0.09,,
516,22,2.014,23,0.09,,
535,23,3.04,19,0.09,,
550,24,4.051,15,0.1,,
563,25,-4.087,13,0.1,,
582,26,1.72,19,0.1,,
613,27,12.729,31,0.11,,
636,28,11.787,23,0.11,,
656,29,-10.054,20,0.11,,
665,30,-2.587,9,0.12,,
683,31,-2.338,18,0.12,,
703,32,-1.775,20,0.12,,
738,33,-0.375,35,0.13,,
761,34,-6.733,23,0.13,,
782,35,-1.598,21,0.14,,
795,36,2.488,13,0.14,,
817,37,1.828,22,0.14,,
839,38,12.99,22,0.14,,
857,39,3.943,18,0.15,,
885,40,6.907,28,0.15,,
910,41,1.921,25,0.16,,
921,42,-2.919,11,0.16,,
952,43,2.306,31,0.16,,
1001,44,21.278,49,0.17,,
1022,45,2.346,21,0.17,,
1040,46,0.161,18,0.18,,
1051,47,0.49,11,0.18,,
1073,48,0.551,22,0.18,,
1110,49,4.18,37,0.19,,
1137,50,-3.519,27,0.19,,
1148,51,-3.31,11,0.2,,
1183,52,12.754,35,0.2,,
1201,53,0.702,18,0.2,,
1220,54,3.243,19,0.21,,
1247,55,-0.462,27,0.21,,
1266,56,3.709,19,0.22,,
1281,57,-6.694,15,0.22,,
1308,58,-0.028,27,0.22,,
1321,59,-0.663,13,0.23,,
1349,60,6.459,28,0.23,,
1382,61,13.809,33,0.24,,
1396,62,-2.922,14,0.24,,
1431,63,-1.194,35,0.24,,
1460,64,1.103,29,0.25,,
1473,65,-0.374,13,0.25,,
1483,66,-2.912,10,0.25,,
1501,67,5.401,18,0.26,,
1522,68,-1.738,21,0.26,,
1537,69,4.389,15,0.26,,
1555,70,5.509,18,0.27,,
1569,71,-1.61,14,0.27,,
1581,72,0.76,12,0.27,,
1608,73,-0.163,27,0.28,,
1634,74,-3.034,26,0.28,,
1659,75,-1.196,25,0.28,,
1670,76,1.833,11,0.29,,
1693,77,-3.487,23,0.29,,
1706,78,2.065,13,0.29,,
1721,79,-1.765,15,0.29,,
1754,80,3.225,33,0.3,,
1783,81,0.561,29,0.3,,
1804,82,8.604,21,0.31,,
1835,83,7.258,31,0.31,,
1854,84,-2.954,19,0.32,,
1869,85,-6.88,15,0.32,,
1884,86,-0.37,15,0.32,,
1916,87,12.293,32,0.33,,
1933,88,1.957,17,0.33,,
1957,89,-0.011,24,0.33,,
1974,90,1.666,17,0.34,,
1991,91,-2.623,17,0.34,,
2013,92,-1.101,22,0.34,,
2038,93,-3.8,25,0.35,,
2071,94,-0.685,33,0.35,,
2098,95,4.087,27,0.36,,
2134,96,16.96,36,0.36,,
2153,97,-2.468,19,0.37,,
2173,98,-2.714,20,0.37,,
2199,99,-3.219,26,0.37,,
2212,100,-4.988,13,0.38,,
2232,101,-4.602,20,0.38,,
2245,102,-1.416,13,0.38,,
2284,103,15.851,39,0.39,,
2296,104,-2.022,12,0.39,,
2314,105,5.965,18,0.39,,
2329,106,0.611,15,0.39,,
2345,107,0.651,16,0.4,,
2364,108,-3.146,19,0.4,,
2379,109,0.522,15,0.4,,
2419,110,5.514,40,0.41,,
2438,111,-0.314,19,0.41,,
2451,112,-0.184,13,0.41,,
2469,113,2.526,18,0.42,,
2503,114,6.056,34,0.42,,
2517,115,0.534,14,0.43,,
2532,116,0.613,15,0.43,,
2549,117,-1.801,17,0.43,,
2561,118,-3.894,12,0.43,,
2588,119,12.847,27,0.44,,
2597,120,-0.636,9,0.44,,
2624,121,0.162,27,0.44,,
2642,122,-6.988,18,0.45,,
2659,123,-6.517,17,0.45,,
2683,124,0.684,24,0.45,,
2727,125,14.175,44,0.46,,
2772,126,21.949,45,0.47,,
2790,127,-4.285,18,0.47,,
2811,128,-1.626,21,0.48,,
2840,129,3.142,29,0.48,,
2858,130,2.214,18,0.48,,
2886,131,7.501,28,0.49,,
2899,132,-2.006,13,0.49,,
2913,133,-2.063,14,0.49,,
2937,134,5.503,24,0.5,,
2958,135,-8.032,21,0.5,,
2984,136,8.907,26,0.51,,
3018,137,7.739,34,0.51,,
3033,138,2.813,15,0.52,,
3046,139,0.529,13,0.52,,
3060,140,-0.6,14,0.52,,
3085,141,-2.204,25,0.53,,
3105,142,0.793,20,0.53,,
3127,143,-0.965,22,0.53,,
3147,144,-6.656,20,0.54,,
3162,145,3.311,15,0.54,,
3187,146,2.955,25,0.54,,
3200,147,-0.364,13,0.54,,
3222,148,1.483,22,0.55,,
3243,149,9.928,21,0.55,,
3267,150,4.28,24,0.56,,
3281,151,-0.28,14,0.56,,
3299,152,6.064,18,0.56,,
3333,153,0.986,34,0.57,,
3346,154,1.836,13,0.57,,
3367,155,-0.288,21,0.57,,
3401,156,12.366,34,0.58,,
3474,157,16.242,73,0.59,,
3491,158,3.183,17,0.59,,
3509,159,2.094,18,0.6,,
3536,160,-2.66,27,0.6,,
3548,161,2.322,12,0.6,,
3564,162,-6.153,16,0.61,,
3575,163,-2.127,11,0.61,,
3590,164,-2.938,15,0.61,,
3605,165,-2.323,15,0.61,,
3621,166,-3.711,16,0.62,,
3641,167,-9.535,20,0.62,,
3658,168,1.947,17,0.62,,
3686,169,5.215,28,0.63,,
3705,170,2.523,19,0.63,,
3715,171,-2.279,10,0.63,,
3732,172,5.753,17,0.63,,
3748,173,-1.663,16,0.64,,
3774,174,-5.096,26,0.64,,
3801,175,1.199,27,0.64,,
3814,176,2.531,13,0.65,,
3849,177,2.617,35,0.65,,
3866,178,0.296,17,0.66,,
3883,179,-1.567,17,0.66,,
3895,180,-0.064,12,0.66,,
3916,181,8.33,21,0.66,,
3951,182,10.331,35,0.67,,
3960,183,-4.32,9,0.67,,
3983,184,6.771,23,0.67,,
4010,185,8.392,27,0.68,,
4027,186,5.58,17,0.68,,
4044,187,0.24,17,0.68,,
4060,188,-6.349,16,0.69,,
4087,189,7.161,27,0.69,,
4119,190,-0.736,32,0.7,,
4139,191,2.369,20,0.7,,
4184,192,11.31,45,0.71,,
4227,193,15.117,43,0.71,,
4239,194,0.022,12,0.72,,
4257,195,-7.813,18,0.72,,
4273,196,-0.443,16,0.72,,
4303,197,13.577,30,0.73,,
4326,198,-2.936,23,0.73,,
4347,199,-1.813,21,0.73,,
4358,200,-1.391,11,0.74,,
4380,201,-10.115,22,0.74,,
4394,202,-1.003,14,0.74,,
4419,203,4.556,25,0.75,,
4435,204,-3.506,16,0.75,,
4460,205,9.194,25,0.75,,
4474,206,-0.349,14,0.75,,
4496,207,-10.338,22,0.76,,
4509,208,0.761,13,0.76,,
4530,209,0.001,21,0.76,,
4542,210,-2.99,12,0.76,,
4577,211,-0.436,35,0.77,,
4590,212,0.445,13,0.77,,
4607,213,-2.827,17,0.78,,
4619,214,-3.72,12,0.78,,
4642,215,-2.758,23,0.78,,
4656,216,2.353,14,0.78,,
4678,217,3.508,22,0.79,,
4698,218,2.296,20,0.79,,
4711,219,-7.668,13,0.79,,
4723,220,-0.188,12,0.79,,
4748,221,1.517,25,0.8,,
4765,222,1.297,17,0.8,,
4784,223,6.919,19,0.8,,
4803,224,2.604,19,0.81,,
4834,225,6.646,31,0.81,,
4866,226,7.977,32,0.82,,
4888,227,3.601,22,0.82,,
4904,228,-11.637,16,0.82,,
