timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
1000,0,-34.391,1000,1.78,,,,
2000,1,-19.025,1000,3.29,,,,
3000,2,-16.794,1000,6.93,,,,
4000,3,-20.55,1000,8.53,,,,
5000,4,-14.343,1000,12.43,,,,
6000,5,-24.953,1000,14.09,,,,
7000,6,-17.948,1000,18.08,,,,
8000,7,-13.992,1000,19.76,,,,
9000,8,-16.713,1000,23.72,,,,
10000,9,-14.439,1000,25.5,,,,
11000,10,-16.95,1000,36.86,,,,
12000,11,-22.306,1000,38.49,,,,
13000,12,-21.889,1000,42.69,,,,
14000,13,-17.073,1000,44.48,,,,
15000,14,-16.359,1000,48.5,,,,
16000,15,-18.184,1000,50.32,,,,
17000,16,-15.491,1000,54.43,,,,
18000,17,-19.633,1000,56.19,,,,
19000,18,-18.084,1000,60.03,,,,
20000,19,-20.159,1000,61.84,,,,
21000,20,-15.691,1000,73.39,,,,
22000,21,-23.581,1000,75.21,,,,
23000,22,-13.585,1000,79.05,,,,
24000,23,-18.948,1000,80.87,,,,
25000,24,-18.395,1000,84.68,,,,
26000,25,-18.339,1000,86.59,,,,
27000,26,-14.339,1000,90.76,,,,
28000,27,-20.209,1000,92.68,,,,
29000,28,-23.062,1000,96.71,,,,
30000,29,-19.073,1000,98.55,,,,
31000,30,-20.21,1000,109.82,,,,
32000,31,-21.815,1000,111.6,,,,
33000,32,-17.251,1000,115.37,,,,
34000,33,-17.448,1000,117.11,,,,
35000,34,-21.518,1000,121.05,,,,
36000,35,-16.052,1000,122.8,,,,
37000,36,-19.359,1000,126.47,,,,
38000,37,-15.876,1000,128.17,,,,
39000,38,-12.046,1000,132.22,,,,
40000,39,-13.548,1000,133.98,,,,
41000,40,-5.72,1000,145.27,,,,
42000,41,-15.46,1000,147.04,,,,
43000,42,-12.055,1000,148.81,,,,
44000,43,-12.417,1000,152.98,,,,
45000,44,-12.636,1000,154.71,,,,
46000,45,-3.895,1000,158.63,,,,
47000,46,-6.978,1000,160.35,,,,
48000,47,-13.551,1000,164.15,,,,
49000,48,-13.206,1000,165.87,,,,
50000,49,-10.529,1000,169.74,,,,
51000,50,-19.08,1000,178.65,,,,
52000,51,-8.604,1000,182.51,,,,
53000,52,-14.479,1000,184.23,,,,
54000,53,-8.488,1000,187.82,,,,
55000,54,-12.44,1000,189.56,,,,
56000,55,-12.898,1000,193.42,,,,
57000,56,-5.413,1000,195.15,,,,
58000,57,-15.593,1000,199.31,,,,
59000,58,-2.15,1000,201.04,,,,
60000,59,-0.962,1000,205.01,,,,
61000,60,-4.742,1000,214.13,,,,
62000,61,3.608,1000,218.21,,,,
63000,62,-0.582,1000,219.94,,,,
64000,63,-4.255,1000,224.09,,,,
65000,64,-5.141,1000,225.81,,,,
66000,65,-0.096,1000,229.68,,,,
67000,66,-4.264,1000,231.42,,,,
68000,67,3.485,1000,234.89,,,,
69000,68,7.178,1000,236.64,,,,
70000,69,-1.027,1000,240.3,,,,
71000,70,3.429,1000,249.34,,,,
72000,71,4.105,1000,253.42,,,,
73000,72,4.311,1000,255.11,,,,
74000,73,6.73,1000,258.97,,,,
75000,74,2.715,1000,260.65,,,,
76000,75,4.68,1000,264.3,,,,
77000,76,4.26,1000,265.93,,,,
78000,77,3.802,1000,269.78,,,,
79000,78,0.826,1000,271.43,,,,
80000,79,-1.855,1000,275.31,,,,
81000,80,6.872,1000,284.09,,,,
82000,81,9.959,1000,288.4,,,,
83000,82,6.324,1000,290.29,,,,
84000,83,1.78,1000,294.72,,,,
85000,84,6.202,1000,296.67,,,,
86000,85,7.723,1000,298.64,,,,
87000,86,5.735,1000,303.01,,,,
88000,87,6.371,1000,305.02,,,,
89000,88,12.073,1000,309.3,,,,
90000,89,6.523,1000,311.33,,,,
91000,90,10.732,1000,324.07,,,,
92000,91,10.233,1000,325.88,,,,
93000,92,5.655,1000,330.42,,,,
94000,93,8.272,1000,332.48,,,,
95000,94,9.165,1000,336.98,,,,
96000,95,9.641,1000,339.08,,,,
97000,96,11.163,1000,343.56,,,,
98000,97,14.6,1000,345.33,,,,
99000,98,9.57,1000,349.03,,,,
100000,99,13.574,1000,350.73,,,,
101000,100,13.552,1000,361.32,,,,
102000,101,8.144,1000,363.03,,,,
103000,102,14.125,1000,366.86,,,,
104000,103,10.874,1000,368.54,,,,
105000,104,8.869,1000,372.4,,,,
106000,105,13.049,1000,374.08,,,,
107000,106,5.283,1000,378.1,,,,
108000,107,10.641,1000,379.79,,,,
109000,108,13.629,1000,383.84,,,,
110000,109,14.037,1000,385.52,,,,
111000,110,12.148,1000,396.65,,,,
112000,111,16.378,1000,398.33,,,,
113000,112,12.826,1000,402.44,,,,
114000,113,16.849,1000,404.14,,,,
115000,114,11.572,1000,408.18,,,,
116000,115,13.458,1000,409.9,,,,
117000,116,14.433,1000,413.81,,,,
118000,117,14.747,1000,415.57,,,,
119000,118,9.698,1000,419.48,,,,
120000,119,13.515,1000,421.29,,,,
121000,120,8.864,1000,432.62,,,,
122000,121,6.145,1000,434.37,,,,
123000,122,13.651,1000,438.54,,,,
124000,123,15.671,1000,440.36,,,,
125000,124,14.49,1000,444.28,,,,
126000,125,14.938,1000,446.18,,,,
127000,126,7.965,1000,450.28,,,,
128000,127,15.167,1000,452.09,,,,
129000,128,10.827,1000,454.04,,,,
130000,129,14.676,1000,458.02,,,,
131000,130,13.507,1000,467.56,,,,
132000,131,17.13,1000,471.55,,,,
133000,132,14.01,1000,473.28,,,,
134000,133,13.562,1000,477.34,,,,
135000,134,2.78,1000,479.06,,,,
136000,135,15.554,1000,482.92,,,,
137000,136,11.551,1000,484.61,,,,
138000,137,14.726,1000,488.19,,,,
139000,138,20.038,1000,489.93,,,,
140000,139,17.048,1000,493.8,,,,
141000,140,16.276,1000,502.71,,,,
142000,141,14.384,1000,506.7,,,,
143000,142,14.37,1000,508.38,,,,
144000,143,15.843,1000,511.95,,,,
145000,144,12.15,1000,513.77,,,,
146000,145,12.31,1000,517.67,,,,
147000,146,17.647,1000,519.37,,,,
148000,147,16.365,1000,523.46,,,,
149000,148,14.818,1000,525.18,,,,
150000,149,17.63,1000,529.13,,,,
151000,150,12.625,1000,538.13,,,,
152000,151,13.28,1000,542.05,,,,
153000,152,13.965,1000,543.78,,,,
154000,153,18.156,1000,547.47,,,,
155000,154,14.129,1000,549.19,,,,
156000,155,15.438,1000,553.02,,,,
157000,156,9.837,1000,554.7,,,,
158000,157,13.044,1000,558.6,,,,
159000,158,19.894,1000,560.37,,,,
160000,159,11.265,1000,563.94,,,,
161000,160,16.869,1000,573.16,,,,
