timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
1000,0,-144.908,1000,0.08,,,,
2000,1,-461.769,1000,0.16,,,,
3000,2,-259.331,1000,0.25,,,,
4000,3,-234.044,1000,0.34,,,,
5000,4,-357.799,1000,0.77,1.921562,0.019574,0.0,0.1
6000,5,-167.036,1000,14.23,0.596553,-0.931629,0.0,0.1
7000,6,-298.345,1000,28.03,1.236493,-1.829566,0.0,0.1
8000,7,-269.19,1000,41.15,1.46919,-2.687402,0.0,0.1
9000,8,-235.891,1000,54.84,1.614891,-3.365365,0.0,0.1
10000,9,-182.814,1000,67.94,1.533318,-4.230321,0.0,0.1
11000,10,-175.584,1000,88.12,1.42737,-5.133739,0.0,0.1
12000,11,-236.612,1000,101.97,1.378859,-6.009677,0.0,0.1
13000,12,-128.858,1000,116.15,1.363365,-6.752493,0.0,0.1
14000,13,-225.735,1000,129.41,1.518282,-7.340183,0.0,0.1
15000,14,-57.417,1000,143.62,1.679044,-7.863331,0.0,0.1
16000,15,118.675,1000,158.22,1.765175,-8.444274,0.0,0.1
17000,16,396.361,1000,172.94,1.823991,-9.23183,0.0,0.1
18000,17,575.238,1000,187.39,1.86175,-10.301516,0.0,0.1
19000,18,759.948,1000,201.39,1.917228,-11.518621,0.0,0.1
20000,19,686.787,1000,214.38,1.981182,-12.752515,0.0,0.1
21000,20,641.68,1000,235.47,2.092983,-13.956246,0.0,0.1
22000,21,693.957,1000,248.46,2.22862,-15.287764,0.0,0.1
23000,22,1061.898,1000,261.95,2.392551,-16.711347,0.0,0.1
24000,23,-175.764,1000,275.91,2.438113,-17.743447,0.0,0.1
25000,24,1162.605,1000,288.97,2.519291,-18.791758,0.0,0.1
26000,25,595.829,1000,302.68,2.796887,-20.528611,0.0,0.1
27000,26,1445.801,1000,316.72,2.906452,-22.028909,0.0,0.1
28000,27,1209.659,1000,330.45,3.256331,-24.160744,0.0,0.1
29000,28,1728.851,1000,344.06,3.449526,-26.016133,0.0,0.1
30000,29,298.694,1000,357.82,3.689225,-27.964174,0.0,0.1
31000,30,1498.613,1000,378.12,3.874283,-29.436355,0.0,0.1
32000,31,1800.823,1000,392.15,4.218121,-31.729649,0.0,0.1
33000,32,1837.938,1000,406.55,4.570919,-34.171754,0.0,0.1
34000,33,1926.258,1000,420.15,4.929586,-36.691534,0.0,0.1
35000,34,524.83,1000,434.18,5.18593,-38.909348,0.0,0.1
36000,35,2078.766,1000,447.56,5.395444,-40.604219,0.0,0.1
37000,36,2235.311,1000,461.42,5.81426,-43.447154,0.0,0.1
38000,37,2295.59,1000,475.23,6.367225,-46.32192,0.0,0.1
39000,38,1231.657,1000,489.12,6.697776,-48.968812,0.0,0.1
40000,39,2196.897,1000,502.35,7.092374,-51.103064,0.0,0.1
41000,40,2529.992,1000,524.0,7.583111,-53.975193,0.0,0.1
42000,41,2219.215,1000,538.38,7.927705,-56.966671,0.0,0.1
43000,42,2494.63,1000,552.72,8.410801,-60.110812,0.0,0.1
44000,43,2665.076,1000,566.83,8.837092,-63.196644,0.0,0.1
45000,44,2633.009,1000,580.51,9.109735,-66.199426,0.0,0.1
46000,45,2791.301,1000,593.94,9.521469,-69.33947,0.0,0.1
47000,46,3032.642,1000,606.65,9.912861,-72.838122,0.0,0.1
48000,47,2846.484,1000,620.24,10.185491,-76.130135,0.0,0.1
49000,48,2933.255,1000,634.29,10.364305,-79.652294,0.0,0.1
50000,49,3056.95,1000,648.82,10.496317,-82.890475,0.0,0.1
51000,50,3156.653,1000,671.09,10.7007,-86.283827,0.0,0.1
52000,51,3021.648,1000,683.88,11.087327,-89.846033,0.0,0.1
53000,52,3102.0,1000,697.52,11.498934,-93.350962,0.0,0.1
54000,53,3104.689,1000,711.39,11.747787,-96.72195,0.0,0.1
55000,54,1201.697,1000,725.63,12.129659,-99.616976,0.0,0.1
56000,55,3342.749,1000,739.62,12.217747,-102.01591,0.0,0.1
57000,56,3377.438,1000,754.25,12.52794,-105.177096,0.0,0.1
58000,57,3561.872,1000,767.79,12.727844,-108.902674,0.0,0.1
59000,58,3567.379,1000,781.53,13.042001,-112.421558,0.0,0.1
60000,59,3500.634,1000,795.32,13.193521,-115.918914,0.0,0.1
61000,60,3386.763,1000,816.24,13.480262,-119.113014,0.0,0.1
62000,61,3758.173,1000,830.14,13.689697,-122.709034,0.0,0.1
63000,62,3492.558,1000,843.56,13.809877,-125.676347,0.0,0.1
64000,63,3353.057,1000,856.93,14.095865,-129.355923,0.0,0.1
65000,64,3777.892,1000,871.16,14.099787,-132.755939,0.0,0.1
66000,65,3872.115,1000,885.64,14.537025,-136.202861,0.0,0.1
67000,66,3915.366,1000,899.98,14.514508,-139.455245,0.0,0.1
68000,67,3919.792,1000,914.04,14.687667,-143.177433,0.0,0.1
69000,68,3901.006,1000,927.35,14.98209,-146.408601,0.0,0.1
70000,69,3759.14,1000,940.76,15.236738,-149.974026,0.0,0.1
71000,70,3903.379,1000,960.45,15.395222,-153.380054,0.0,0.1
72000,71,3743.796,1000,973.89,15.711856,-156.437144,0.0,0.1
73000,72,3899.792,1000,987.84,15.825143,-159.654662,0.0,0.1
74000,73,4011.779,1000,1001.46,15.905813,-163.02001,0.0,0.1
75000,74,4099.015,1000,1014.99,16.369513,-166.2238,0.0,0.1
76000,75,4297.022,1000,1028.05,16.648372,-169.570393,0.0,0.1
77000,76,4183.985,1000,1041.25,16.816012,-172.632622,0.0,0.1
78000,77,4145.976,1000,1054.45,16.704845,-175.988597,0.0,0.1
79000,78,4114.566,1000,1067.67,17.0043,-179.442457,0.0,0.1
80000,79,4227.492,1000,1080.75,17.255832,-182.401744,0.0,0.1
81000,80,4254.865,1000,1100.69,17.115831,-185.649123,0.0,0.1
82000,81,4004.817,1000,1114.27,17.343148,-188.625887,0.0,0.1
83000,82,4316.342,1000,1127.83,17.599249,-191.263152,0.0,0.1
84000,83,4500.742,1000,1141.61,17.977834,-194.556208,0.0,0.1
85000,84,4381.404,1000,1155.14,17.991762,-197.739552,0.0,0.1
86000,85,4523.199,1000,1168.52,18.622101,-200.650371,0.0,0.1
87000,86,4646.949,1000,1182.32,19.139105,-203.690827,0.0,0.1
88000,87,4660.801,1000,1196.11,19.135477,-206.559017,0.0,0.1
89000,88,4462.347,1000,1209.72,19.226226,-209.541676,0.0,0.1
90000,89,4650.48,1000,1223.4,19.6575,-212.628371,0.0,0.1
91000,90,4495.69,1000,1244.06,19.393385,-215.405773,0.0,0.1
92000,91,4627.834,1000,1258.35,20.003513,-218.499437,0.0,0.1
93000,92,4588.136,1000,1272.51,20.000654,-220.959611,0.0,0.1
94000,93,4728.807,1000,1286.56,20.144069,-224.021524,0.0,0.1
95000,94,4899.299,1000,1300.41,19.990788,-226.859431,0.0,0.1
96000,95,4825.749,1000,1313.71,20.313931,-229.643649,0.0,0.1
97000,96,4940.402,1000,1326.88,20.492296,-232.208962,0.0,0.1
98000,97,4893.562,1000,1340.34,20.454886,-234.871223,0.0,0.1
