timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
1000,0,-422.905,1000,0.08,,,,
2000,1,-230.283,1000,0.17,,,,
3000,2,-224.376,1000,0.25,,,,
4000,3,-395.182,1000,0.32,,,,
5000,4,-392.139,1000,0.76,20.074139,-3.750128,9.048092,0.999001
6000,5,-152.92,1000,14.97,1.532573,-10.306394,6.628562,0.438302
7000,6,-259.307,1000,28.07,1.021799,-13.96634,3.200197,0.237649
8000,7,-224.387,1000,41.98,1.113781,-15.422948,1.721023,0.144766
9000,8,-222.598,1000,55.41,1.190603,-16.153321,0.95047,0.09538
10000,9,-136.959,1000,68.89,1.16819,-16.665188,0.538685,0.06621
11000,10,-255.381,1000,88.37,1.321022,-16.869741,0.327036,0.046859
12000,11,-105.006,1000,102.61,1.261985,-16.671191,0.198214,0.033832
13000,12,213.142,1000,116.78,1.4487,-16.843009,0.117356,0.024987
14000,13,417.48,1000,130.8,1.435032,-17.294446,0.065077,0.019156
15000,14,1093.558,1000,144.62,1.508126,-18.426432,0.031917,0.015573
16000,15,1192.269,1000,157.57,1.69424,-20.149547,0.012132,0.013722
17000,16,305.575,1000,171.15,1.879864,-21.497482,0.002119,0.013258
18000,17,1906.001,1000,185.59,2.352054,-23.313971,-0.004292,0.015093
19000,18,1286.152,1000,200.94,2.833503,-25.790097,-0.00587,0.019655
20000,19,2438.807,1000,216.58,3.624292,-28.801267,-0.003787,0.02527
21000,20,2394.857,1000,236.72,4.810661,-33.212346,-0.002672,0.031241
22000,21,2645.261,1000,250.01,5.416085,-38.063968,-0.001782,0.035792
23000,22,3260.931,1000,263.89,6.122497,-43.835309,-0.001167,0.039226
24000,23,3415.01,1000,277.57,6.599369,-49.680664,-0.001771,0.044335
25000,24,2978.316,1000,292.14,7.741248,-55.523967,-0.001259,0.047782
26000,25,2883.087,1000,306.39,9.420329,-61.478103,-0.001022,0.050746
27000,26,1112.105,1000,320.23,10.340421,-65.946193,0.000328,0.050012
28000,27,3803.763,1000,334.16,10.547344,-69.950828,-0.001266,0.053408
29000,28,3217.467,1000,348.08,11.777049,-75.989029,-0.00199,0.058738
30000,29,2046.79,1000,361.65,13.861241,-81.268159,-0.001125,0.061711
31000,30,1526.378,1000,379.69,14.938978,-84.595163,-0.000151,0.062904
32000,31,3918.582,1000,393.81,15.661396,-88.654701,-0.001679,0.066771
33000,32,1754.55,1000,407.84,16.406617,-93.98723,-0.000472,0.068198
34000,33,3406.167,1000,421.37,18.134843,-97.815887,-0.001488,0.07229
35000,34,3717.46,1000,435.09,18.809383,-103.278284,-0.001718,0.077029
36000,35,4093.89,1000,449.99,18.60562,-109.108619,-0.001148,0.080017
37000,36,3522.215,1000,464.27,17.825264,-114.660417,-0.001645,0.083796
38000,37,4147.14,1000,478.71,18.892418,-119.967226,-0.000956,0.086772
39000,38,4211.789,1000,492.93,17.751392,-125.19961,-0.001293,0.090481
40000,39,4130.709,1000,506.05,17.534589,-129.867926,-0.001533,0.094857
41000,40,4297.411,1000,524.73,17.653255,-135.653949,-0.000676,0.095878
42000,41,3826.803,1000,538.96,17.677314,-140.26001,-0.001695,0.100505
43000,42,4189.321,1000,553.09,17.537758,-144.90496,-0.001572,0.104806
44000,43,4278.715,1000,568.59,17.334462,-149.041867,0.001091,0.102313
45000,44,4470.541,1000,583.57,17.17562,-153.521701,-0.002591,0.108976
46000,45,4472.045,1000,596.31,16.686907,-157.917177,0.000779,0.106942
47000,46,4731.047,1000,610.33,16.15205,-162.206048,-0.002727,0.113698
48000,47,4352.482,1000,623.47,16.154686,-166.439277,-0.000518,0.115101
49000,48,4492.224,1000,637.51,16.104054,-170.032128,0.000465,0.114517
50000,49,4832.847,1000,651.79,15.961022,-173.853747,-0.001086,0.117124
51000,50,4680.402,1000,671.94,15.597042,-178.058736,-0.000393,0.11809
52000,51,4699.684,1000,685.58,15.742437,-182.16729,-0.00043,0.119293
53000,52,4870.115,1000,699.62,15.706048,-185.662344,-0.001678,0.123387
54000,53,4646.584,1000,713.3,16.21591,-189.370603,-0.00065,0.125839
55000,54,4811.378,1000,726.28,16.708355,-192.850879,0.000168,0.125099
56000,55,3136.909,1000,740.27,17.017194,-196.098738,-0.001893,0.130613
57000,56,5040.134,1000,753.71,18.054125,-197.528543,0.000278,0.129101
58000,57,4932.757,1000,767.72,18.37418,-201.24639,0.000352,0.128647
59000,58,4754.066,1000,781.4,18.208669,-204.518112,-0.001907,0.1341
60000,59,5014.626,1000,795.33,18.83162,-208.22083,-0.000956,0.135802
61000,60,5084.044,1000,814.17,18.580901,-211.105214,0.000176,0.13592
62000,61,5080.314,1000,829.12,19.082666,-214.800372,-0.001675,0.139732
63000,62,5205.266,1000,843.2,19.110159,-217.686875,0.000771,0.139134
64000,63,5362.686,1000,856.99,19.109394,-220.891398,-0.001493,0.142051
65000,64,5232.735,1000,870.21,18.73124,-223.840351,-0.002518,0.148319
66000,65,5147.478,1000,883.89,19.171691,-226.975027,-0.000655,0.150649
67000,66,5377.664,1000,898.26,19.154899,-230.039064,-0.000841,0.153263
68000,67,5464.441,1000,912.25,19.733995,-233.219655,0.000118,0.152167
69000,68,5814.821,1000,926.73,19.48488,-236.165669,-0.000194,0.153696
70000,69,5709.086,1000,941.53,19.400963,-239.490437,-0.000543,0.154903
71000,70,5692.152,1000,960.36,19.9775,-242.143716,-0.001891,0.160077
72000,71,5619.442,1000,973.34,20.047666,-245.433138,-1.4e-05,0.159566
73000,72,5991.882,1000,987.2,21.577688,-248.38947,-0.000316,0.16064
74000,73,5726.506,1000,1000.05,20.645818,-251.693981,-0.001039,0.163872
75000,74,5878.879,1000,1013.66,20.737997,-254.594084,-1.6e-05,0.164203
76000,75,5755.921,1000,1028.34,21.837669,-257.853771,-0.002123,0.168772
77000,76,5818.036,1000,1042.19,21.559829,-260.683847,-5.5e-05,0.169189
78000,77,5810.749,1000,1056.23,21.668224,-264.095579,-0.002069,0.174696
79000,78,5747.135,1000,1069.26,24.191985,-266.528543,0.001545,0.171058
80000,79,5872.894,1000,1082.86,23.38527,-269.967095,-0.003249,0.17869
81000,80,5605.281,1000,1101.68,25.772228,-272.419401,8.1e-05,0.179802
82000,81,5750.007,1000,1115.5,26.27561,-275.455095,-0.000755,0.181925
83000,82,5875.284,1000,1129.05,25.711342,-277.980365,0.000312,0.181042
84000,83,6218.41,1000,1143.14,26.928033,-280.7073,-0.001477,0.185672
85000,84,6333.555,1000,1156.5,25.744588,-283.819433,-0.001474,0.188004
86000,85,2177.939,1000,1171.13,26.596909,-285.771108,0.0015,0.184527
87000,86,6292.98,1000,1185.23,27.641572,-286.90023,-0.001094,0.187608
88000,87,6235.084,1000,1199.72,27.373844,-289.781442,0.000156,0.18671
89000,88,6152.945,1000,1213.34,27.739143,-292.487792,-0.00264,0.195455
90000,89,6305.71,1000,1227.01,28.217136,-294.706015,0.001101,0.193052
91000,90,6253.767,1000,1244.59,26.899613,-298.36528,-0.003092,0.201763
92000,91,6186.087,1000,1258.98,27.104639,-300.442807,0.000264,0.200495
93000,92,6373.335,1000,1273.94,27.615529,-303.01953,-0.000233,0.200493
94000,93,6310.115,1000,1289.33,27.478092,-306.269914,-0.001753,0.205628
95000,94,6352.829,1000,1304.31,28.163896,-308.374071,0.000674,0.204405
96000,95,6437.851,1000,1317.65,28.73507,-310.622141,-0.001413,0.207182
97000,96,6237.072,1000,1331.32,28.289352,-313.172275,-0.001307,0.211562
98000,97,6639.669,1000,1344.53,30.595209,-315.324858,-0.001874,0.217128
99000,98,6371.462,1000,1358.66,31.27406,-318.078923,0.000502,0.215938
100000,99,6042.017,1000,1373.27,32.943896,-320.476933,0.001873,0.21057
101000,100,6533.201,1000,1392.66,32.668369,-323.192298,0.00049,0.209558
102000,101,6101.455,1000,1406.79,31.876075,-325.480489,-8.4e-05,0.209127
103000,102,6267.609,1000,1420.57,31.522977,-326.896923,-0.000494,0.210972
104000,103,6568.154,1000,1433.78,31.718312,-329.616241,-0.001372,0.214203
105000,104,6496.669,1000,1447.56,32.786203,-331.161226,-0.001632,0.219918
106000,105,6328.263,1000,1460.99,34.542093,-333.086133,6.6e-05,0.220468
107000,106,6495.465,1000,1474.48,35.536842,-335.359683,-0.000588,0.222017
108000,107,6668.838,1000,1488.56,37.141852,-337.614625,0.000311,0.221238
109000,108,6637.139,1000,1502.11,37.667062,-339.973629,-0.001247,0.224562
110000,109,-404.703,1000,1515.92,48.519779,-346.811669,-0.00226,0.230911
111000,110,-446.739,1000,1535.13,67.52765,-360.533703,0.001236,0.227588
112000,111,6177.125,1000,1549.9,80.054486,-367.20509,0.000412,0.227279
113000,112,-478.892,1000,1563.3,86.21219,-372.642922,0.000268,0.225097
114000,113,-517.762,1000,1577.58,89.101181,-385.013295,0.003223,0.217329
115000,114,-624.527,1000,1590.08,105.510456,-395.373377,0.002411,0.211345
116000,115,-660.976,1000,1604.43,119.500863,-407.842461,-0.002124,0.217435
117000,116,-578.824,1000,1619.01,115.250544,-422.482022,-0.002973,0.224181
118000,117,-353.64,1000,1633.47,113.568258,-436.895524,-0.009198,0.248275
119000,118,-323.289,1000,1648.54,119.144801,-457.404685,0.005024,0.234702
