timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
1000,0,-239.821,1000,0.08,,
2000,1,-354.241,1000,0.16,,
3000,2,-245.462,1000,0.23,,
4000,3,-410.898,1000,0.31,,
5000,4,-265.631,1000,0.39,,
6000,5,-247.404,1000,0.47,,
7000,6,-330.23,1000,0.54,,
8000,7,-229.759,1000,0.63,,
9000,8,-243.694,1000,0.7,,
10000,9,-286.568,1000,0.78,,
11000,10,-190.924,1000,6.16,,
12000,11,-267.875,1000,6.24,,
13000,12,-187.327,1000,6.34,,
14000,13,-367.72,1000,6.42,,
15000,14,-332.41,1000,6.51,,
16000,15,-282.363,1000,6.58,,
17000,16,-326.785,1000,6.68,,
18000,17,-309.531,1000,6.75,,
19000,18,-301.991,1000,6.85,,
20000,19,-345.691,1000,6.95,,
21000,20,-322.921,1000,12.14,,
22000,21,-353.939,1000,12.23,,
23000,22,-149.423,1000,12.31,,
24000,23,-202.954,1000,12.39,,
25000,24,-421.411,1000,12.63,1.627508,
26000,25,-482.529,1000,20.56,0.323796,-0.298046
27000,26,-492.214,1000,27.54,0.400641,-0.754428
28000,27,-422.462,1000,34.34,0.612887,-1.249328
29000,28,-305.453,1000,41.16,0.781859,-2.103266
30000,29,-243.088,1000,48.24,0.995819,-3.31902
31000,30,196.236,1000,60.48,1.17362,-4.686856
32000,31,466.412,1000,67.91,1.329221,-6.371603
33000,32,648.211,1000,74.92,1.494132,-8.159412
34000,33,424.297,1000,82.23,1.578551,-9.924556
35000,34,693.704,1000,90.14,1.750949,-11.78115
36000,35,851.656,1000,97.77,1.874213,-13.72596
37000,36,2196.835,1000,106.26,1.977937,-16.091481
38000,37,1883.104,1000,113.97,2.130555,-18.947776
39000,38,2308.408,1000,121.08,2.265082,-21.576963
40000,39,2577.845,1000,128.16,2.464409,-24.551148
41000,40,2860.856,1000,140.09,2.745663,-27.84637
42000,41,1651.931,1000,147.27,3.024563,-31.264107
43000,42,2896.526,1000,154.52,3.472014,-34.287366
44000,43,2783.637,1000,161.84,3.82715,-37.765699
45000,44,3082.151,1000,168.88,4.320357,-41.511097
46000,45,3375.841,1000,175.77,4.876131,-45.393831
47000,46,3078.13,1000,182.86,5.322026,-49.350289
48000,47,3433.411,1000,189.87,5.772461,-53.751138
49000,48,3535.452,1000,197.31,6.450952,-57.89664
50000,49,3614.3,1000,204.84,6.934516,-62.374996
51000,50,3778.529,1000,218.5,7.422122,-66.927647
52000,51,3790.45,1000,225.91,7.912842,-71.559869
53000,52,3786.08,1000,232.98,8.330306,-75.964221
54000,53,3712.133,1000,239.8,8.840622,-80.39257
55000,54,1702.726,1000,246.86,9.289274,-84.323564
56000,55,4054.154,1000,254.02,9.557466,-87.887265
57000,56,3834.03,1000,261.32,10.251969,-92.406285
58000,57,3889.268,1000,268.41,10.459294,-96.627958
59000,58,4430.669,1000,275.42,10.676944,-101.140581
60000,59,4159.031,1000,282.42,11.283445,-105.607166
