timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
1000,0,-253.374,1000,0.08,,
2000,1,-420.493,1000,0.16,,
3000,2,-216.595,1000,0.24,,
4000,3,-241.913,1000,0.35,,
5000,4,-215.357,1000,0.43,,
6000,5,-330.665,1000,0.51,,
7000,6,-292.654,1000,0.58,,
8000,7,-359.668,1000,0.67,,
9000,8,-159.165,1000,0.78,,
10000,9,-365.632,1000,0.88,,
11000,10,-255.935,1000,8.34,,
12000,11,-220.62,1000,8.44,,
13000,12,-146.906,1000,8.56,,
14000,13,-161.089,1000,8.66,,
15000,14,-183.34,1000,8.74,,
16000,15,-299.186,1000,8.83,,
17000,16,-325.085,1000,8.91,,
18000,17,-219.671,1000,8.99,,
19000,18,-214.762,1000,9.1,,
20000,19,-114.877,1000,9.19,,
21000,20,-329.182,1000,17.75,,
22000,21,-224.095,1000,17.82,,
23000,22,-193.822,1000,17.9,,
24000,23,-170.409,1000,17.98,,
25000,24,-307.256,1000,18.24,1.930574,
26000,25,-396.006,1000,25.71,0.494981,-0.297149
27000,26,-459.436,1000,33.05,0.534686,-1.389922
28000,27,-426.347,1000,40.39,0.714158,-1.677007
29000,28,-439.45,1000,47.56,0.989752,-1.62515
30000,29,-463.082,1000,54.83,1.271873,-2.022447
31000,30,-317.286,1000,68.63,1.646219,-3.007192
32000,31,-333.572,1000,75.5,1.92406,-4.342695
33000,32,-276.059,1000,82.05,2.01021,-5.407661
34000,33,-324.582,1000,89.19,2.096154,-6.406836
35000,34,-308.402,1000,96.5,2.262192,-7.330679
36000,35,-605.695,1000,104.09,2.461383,-8.087182
37000,36,-103.1,1000,111.5,2.730824,-8.582095
38000,37,269.1,1000,118.88,2.745258,-9.262171
39000,38,-49.836,1000,126.23,2.59262,-9.484235
40000,39,-71.624,1000,133.48,2.432577,-9.628814
41000,40,-4.275,1000,148.39,2.309337,-9.599926
42000,41,304.297,1000,155.68,2.271246,-9.785745
43000,42,1224.95,1000,162.93,2.281274,-10.353842
44000,43,1317.203,1000,170.19,2.354886,-11.305387
45000,44,1550.376,1000,177.45,2.468848,-12.506937
46000,45,1373.09,1000,184.9,2.658883,-14.005889
47000,46,1604.492,1000,191.94,2.838699,-15.506262
48000,47,1600.754,1000,199.47,2.99624,-17.202755
49000,48,1716.267,1000,206.73,3.249044,-18.97328
50000,49,1713.6,1000,214.07,3.384318,-21.032614
51000,50,1918.28,1000,227.06,3.585908,-22.969403
52000,51,2143.282,1000,234.27,3.729752,-25.283014
53000,52,2036.059,1000,241.55,4.028782,-27.395912
54000,53,2545.543,1000,248.93,4.194865,-29.850309
55000,54,2345.525,1000,256.13,4.426388,-32.159034
56000,55,2607.81,1000,263.44,4.805076,-34.936226
57000,56,2701.179,1000,270.75,5.074688,-37.287097
58000,57,2885.474,1000,278.15,5.457696,-40.097529
59000,58,3036.941,1000,285.64,5.659758,-43.213814
60000,59,2877.061,1000,292.72,6.050544,-46.284055
